id,tweet
74,besok2 saya pakein sofa bro tungir sakit !berasa njir !kena behel�
75,haha iyah kak:) mangkanya tadu liat diberanda mau komen tidak-enak kalau di twiterkan tidak-ada yang ikut nimbrung
76,semoga yaperjasa diberikan kemenangan dan hari ini cetak gol amin □ #lpiday
77,semoga mama mengerti bahwa anakmu sudah dewasa -_-
78,diposisi yang salah neh saya :| mending tidak-kebangun sudah !
79,weleh king juga ditutup tol ke arah jakarta macet parah daerah ancol juga (cont)
80,sarah anakx boencit dan sarah she maniez keras kepala sangat ya! ilfel:-s
81,makanya jangan memikirkan saya kenapa tiba2 pusing kepalanya :(
82,pelayanan lion air parah tidak-dikasih payung hujan-hujanan tidak-pakai garbarata soeta ujan deres
83,sakit apan si bambang :o get well soon ya
84,selamat ulang tahun… (w/ & at cluster primavera - foresta bsd city) [pic] —
85,jahat :(
86,hahaha oke deh :) hahahah gp lagi bt hahaha :d maf pak ngantuk -_-
87,tapi insyalah hasil yang kami berikan tidak-mengecewakan kalian semua
88,/terfav/ favlah sebanyak yang kamu suka asal aku tetap bersamamu wkwk faved! wkwk:-3 fitnah mah yang bilang kamu itu
89,selamat pagi al loves
90,tadu si sekarang si yang data skripsi'y ilang sabar ya teman2 :')
91,late diner with my big family! (at indah seafod - kalimati) —
92,cocok lagi ey ei raihana-arya cocok raihana_afi ei arya ei
93,puas belanja breadtalk ) (at supermal lipo karawaci) —
94,lagunya tegar juga ini kah rasa nya tak boleh jatuh cinta tapi mengapa dirinya seakan memberi harapan
95,mb yak baru buka twet wkwkq parah diomelin tuh pasti bocah2 sedengv
96,rt:-( kangen teman sekolah kalau sudah libur lama -_- #ingatansekolah
97,kemarin cukup apik dibawain superglad :) ♫ sick boys by social distortion —
98,ya sudah alhamdulilah semoga dapat ya serius saya beh cius lagi ingin mencintai seseorang dengan
99,kata ibu guru tidak-boleh pelit sama ilmu -
100,nge pes malam2 gini lebih mantap nge yogurt malam-malam gini mantap
101,ya itu alasan kamu saja deh sepertinya :p nah benar :d naufal: mampu meredakan semuanya :p memang suara
102,ngumpet di balik selimut itu paling enak [pic] —
103,cie yang cantik mah beda aku mah apa atuh hanya baik saja :)
104,yakin awas kemakan omonga wkwkwk maaf tidak-ada story saya korban php atau gagal move on banga sangat cewek yang bisa
105,kepo deh apan tuh kamu comut kamu wkwk saya cih celalu bahagia h
106,sial jadi w yang bayar ni haha
107,iyasih ya alah kebiasan sekali foto depan kaca untung tidak-retak
108,sedih sangat pasti tu orang ya mungkin sudah ajalnya disitu dek
109,jangan samanya egois :) bagaimana cara kamu ngadepin teman yang egois #zrask
110,alma kaya anak cina ish lol [pic] —
111,motif buket lainya karya iwan tirta … (w/ hani & others at martimbang raya no 10) [pic] —
112,nyaman sekali {} nyaman tidak-pakai jilbab :)
113,tidak-jelas sangat hidup lo! ngretwet retwet gjls njs
114,iya benar ko kamu tahu
115,sudah berasa paling benar saja saya -_-
116,i'm at restoran rindu alam
117,seng mbiyen yo seng mbiyen ​g� usang di ungkap2 mana � ngisin2 no q wae
118,aku :-p sini di peluk ha reisachacha yang anget2 enak nih hujan2 gini
119,kurang tahu cha
120,hahahaha semangat ya peng wkwkwkwkw
121,gblk sih ah kesal sendiri jadinya ! >:o
122,dih haha tidak-salah apa apa saya juga -_-
123,duh kalian doain yang baik besok yah ok ok ocen berubah :'(
124,yoi tetap semangat yah pak :d (� �`�) ciye ciye tiati cinlok hah
125,sygku senin aku cuti studio libur kan sayang jln2 yuk sayang hehehe
126,hahay #libra pintar membuat bisnis dan juga pintar tawar-menawar
127,pacar pacar bawel bawel sayang sayang :p:
128,saya bukan anak kecil saya bisa handle masalah gue!
129,hape aku walpaper nya muka k lagi nyengir ganteng bgt^ setiap nyalakan hpe pasti pas ngeliat tu foto hati jadi berbunga2 ^ #v
130,segitu2 ge memang berani yaelah segitu saja 50jt berani berapa sih berapa
131,karena tidur semalam sangat gelisah sekarang mata perih tidak-karuan
132,senangnya diwaktu libur hujanpun menemani senin kamu sempurna (at homey) —
133,haha lah kamu gaktau saya sekarang kaya orang cina pakai nama panjang coba
134,cukup terhibur malam ini sama d
135,kebanyakan #scorpio adalah orang yang setia dan tepat janji
136,selamat ulang tahun sesty :d selamat tanggal {}
137,bgnilah tempat saya nik kalau dtenk po banyak baru kerjan numpuk wkwkwk sbar yah :d enak sangat si (�_�) kerjan saya numpuk nih
138,alhamdulilah bisa tembus nyundul langit di sisa hari terakhir genjot lagi dijadin bonus tambahan
139,hahahahaha iklan benar kamu ka
140,lucu abisan masih kagok di depan kamara >_<
141,mak indah dapat ribu atas todong oleh karel #newlangitmusik
142,ya sayang kaka cantik cek dm yawn
143,iye dong kalau salah tingal coret hehe kalau benar berati nga salah ye hehe
144,lumayan pegel nih keliling anjungan daerah di tmi #motret #buatportfolionih
145,hahaha apalagi dia nanti malah disengajain salah elus yaudah edi (cont)
146,selamat ulang tahun anabel sukses kuliahnya&lancar segala urusanya yah :d
147,orang tua pandanglah kami sebagai manusia jawablah dengan penuh cinta
148,mata kamu tidak-jelas tidak-jelas > � ciri tk tidak-lulus
149,kamu brap haha samiun itu tadu bayar parkir mahal sangat ya
150,santai sore (with and at ropan ロッパン) —
151,iya kamu daripada ditipu sekolah gope tidak-menginap mending acak acak saja ituh panitia pilihan yang tepat sekali
152,ha gaklah say tenang saja paling aku ngadu sama izi he dari pada kamu ngadu dia lebih baik ku mafn
153,haha besok saja saya umumin keanak nya biar tidak-pusing hahahart l i e u r ah itu maksudnya kel pertama maju ke
154,iya pan nama cari saja di gogle g serius bil soalnya teman w ada yang tidak-prcaya in
155,dirumah mega ica sayang
156,tahu kalasanya lumayan (at ห้อง 210) —
157,nges di transfer y sok atuh segera dikirim nuhun nya� (with at koni dki) [pic] —
158,kalau lagi demam & flu makanan senak apapun rasanya hambar ampun kapok! tidak-lagi minum dingin -_-
159,sedikit lagi puasa wih pasti enak nih jadi pada tidak-makan tidak-minum hahahahaha pada aus sudah
160,vn sudah saya kirim sabar kayaknya pending
161,iya ko semangat untuk kita semua wijibungsu1 iya wiji semangat juga ya ;)
162,cocok maksudnya biarin orang kamu cocok sama rini mele -_-
163,parah
164,wkwkwk pada takut liat muka kamu nongol di tl sih _ xd ! sepi amet yang hidup berapa orang nih
165,tapi kamu sudah daftar va ah industri mah enak kalau cewek tapi cowok mah jrang va daftar sampai bulan apa iya ipa saya juga tahu
166,eh maf aku tidak-tahu aku kira kamu lagi bercanda
167,suara saya kapan balik;( tidak-enak gbs teriak2
168,:d thankyou yang paling cantik hehe sudah cantik :) he numpang tanya sudah azan belum ya
169,kemarin krisna kan take recording ya lagunya lucu bet uni
170,ada seseorang yang sayang sekali sama kamu kamu tahu siapa orangnya saya orangnya !
171,menyegarkan diri ~ (with at chezini bakery & cake) —
172,the ring mel film apan emgnya din asli sumpah tuh pilm bikin saya tegang bikin saya takut ke dapur
173,oke dtngu ya hahaha
174,bersenang ria hahaha
175,sabar saja nanti juga dapat yang terbaik kog
176,bahaha sembarangan saya timpuk kamu sekolahan kamu mah ikuti sama saya juga
177,bagusan novita sih dibanding fatin jelas dari segi vokal juga novita sudah terlatih cuma ya itu kurangnya dari novita fansnya kurang ngevote
178,tidak-niat belanja saja pulang2 bawa segini � selamat tingal prj tidak-kesana karena dompet kempes… (w/ komang) [pic] —
179,memang dasarnya dirumah tidak-pernah cuci ini jauh dari nyokap cuci baju satu saja pegel wkwk
180,itu sih 9% pasti punyaku wkwkw iya itu made in japan mbak dalemnya nyaman sangat bukan ilusi
181,bagus apanya #bagusmas sabar sangat mba haha #sabarmas hihi hem gampangan dong
182,sama si konde kemarin eh ketemu si kiting nah jadi lah saya makin lama disana jeh-_- sama siapa lau kesana
183,ngertin posisi saya kek sengaknya saya sudah kaya gini lama benar wey
184,kamu yang sabar karena kamu kaga ngerti kamu yang harus sabar siagian
185,haha belenjong sist saya di taxi yank b mati xl tidak-ada pulsa doh
186,laki-laki baik yang akan menjadi akan raya di masa depan dijauhkan dari wanita palsu yang maunya hanya uang insyalah
187,abis nya gedeg benar saya hust tidak-boleh frontal haha anak bapa ema nga ada yang benar :d hus
188,kuharap rasa cinta ini yang akan selalu mendekatk kita meskipun keadan yang selalu berusaha menjauhkan kita
189,hey you ka bagus tadi tuh keren sekali asli walaupun keluar tapi penampilanya nudi keren sekali tadi :)
190,yah elah martil ohemji kok jerawatan sih sudah tidak-cantik deh :d :d :d
191,semangat para pencari berita dan sukses aktivis kampus yang sedang menyuarakan kepedulianya… (at bundaran hi) —
192,mimpi � aneh :|
193,saya lebih semangat kalau merah putih :
194,minta hadiah astagfirulah ☹
195,ambon sudah sama indah cia cia cia lau juga sama ambon :p banyak yang cinlok nih kiwkiw~ haha
196,tidak-gadapet bangku lol wkwk abis dia pikir nya pas sudah deket yagadapet lolagi apa
197,yampun pakai peci lol bap kamu in sg is on hari raya lol are they gona be singing hari raya songs lol
198,sudah biasa wkwk lagi pikun ih -_ haha iya wkwkwk simpen dulu ye :p
199,a mamak perutnya sakit pakai sekali : (
200,cocok tuh ngocol kamu berdua-_- 2n lau nyindir saya bos
201,gatau cu ktanya kapan saja fir yang benar itu ambil sertifikat kapan si
202,with deh and luly at rehabilitasi rs jantung harapan kita jakarta [pic] —
203,susah bikin doi nanti juga kalem lagi kasih be jajanan giliran sama idan tanpa dia minta maf mama biasa2 a
204,lihat myca belajar main biliard sama lemas gara tertawa mulu! bahahaha
205,asem ik we om omngn mu biasa ne kan ora tahu benar om
206,o o orang gaje gini nih - - untung saya ada“b� nya
207,maci buneno : amin sukses tetehku sayang uasnya : hari random sedunia hz uas lancar! amin
208,hahahaha sabar sudah ya #cemungutd
209,dingin :&
210,bang roman leha kangen teriak leha ngelit leha jadi sulit leha merenung leha jadi bingung
211,tidak-jadi tidak-mau nyiumin lagi nih benar ~ oiya isya nya belum tuh yang;) nga: kamu bawu:p mayes
212,tidak-baik kan insom terus dah-_-�
213,siksa kaya tkw :o _ v #omspiktanya biasanya kalau hp kamu lemot sering kamu apain
214,oke d sendiri lagi : o
215,jangan tawa kamu galau nih saya wkwk perkatan seorang wanita kemarin saja ti
216,selamat makan :) (at ayam goreng landasan) [pic] —
217,at tinor asli —
218,untung b indo cukup menyelamatkan lah
219,heh tanya ngaler ngajawab ngidul tuda jiah :p hahahaha hery baik mana
220,berteriak memaki namun esok terlihat romantis ! kata apa iang cocok untuk dia dan dia … (at myhome) —
221,selamat ulang tahun bapak adhyaksa dault :) (at airman planet lounge) —
222,kamu juga tuh bel keringet di tete hwhwhw tapi tetap bau ka saya sudah mandi elu kak bau
223,cinta seorang ibu selalu dihati dan tak akan lekang oleh waktu ♥
224,bayar tidak-privat tidak-kamu min ama anjir sudah pintar kalau yang belajar ciul
225,haha bagus bagus(y) wkwk sudah dong di haha
226,astro boy (at jalan raya pondok gede) [pic] —
227,kangen hp yang dulu yang warnanya putih hitam yang ada lambang aneh di belakangnya
228,di belek terus disikat :d nih gatal sekali ya tengorokan mau digaruk tidak-bisa dibatukin bikin sakit terus enakny
229,cie yang sudah senang perasanya ditangepin gebetanya tapi sebenarnya hanya dibuat ge'er sama dia
230,kadang tuh aneh sama orang tua jaman sekarang dia tidak-liat apa diakan dulu pernah muda juga! wajarkali~
231,celana biru tapi umur nya tua yah :-p hehe :-p
232,pengen cepat liat vc nya saja deh dripda foto nya saja biar sesak nya tidak-setengah2 u u
233,lagu bala tuh :d kenangan bersamamu tak pernah aku lupakan:drt tuk melihat masa depan yang indah :)
234,lapar #kepogaul lebih kuat tahan lapar / kangen
235,itu ibuku gloch itu bukanya anaku ya burungku sayang burungku yah jangan gl
236,tahu kok tahu iya kamu sudah tua tahu
237,obi buat saya ketika ada seseorang yang berhasil membuat saya jatuh hati sesulit apapun bakal saya perjuangin sampai akhir
238,sakit perut sama mules apa bedanya sama wae
239,sok sokan main the house jadi kaya gini -_- (at menteng dalam-tebet) [pic] —
240,suram
241,benar benar bingung sekali :(
242,nyamanya bahagianya bila kamu selalu ada di sampingku akan sangat menyakitkan jika sampai engkau menjauh dariku dari hidupku
243,ahk tukang karcis wih lus donk hatinya bisa main futsal gratis donk lapangkan hati ini
244,modus bm sayang lagi ap |ol|juteknya|bodo|pdhl mau ngajakin kemal mau ta belin tas|oh maf sayang lagi apa sudah makan yuk :)| -_-
245,sudah cek di gmap pancoran mas itu dimana dan ternyata lumayan jauh~ dizinin tidak-ya :/
246,sama rata sama rasa berat sama dipikul ringan sama… (at kantor sekber 5a dpd i kabupaten pandeglang) —
247,maaf po lagi bara buru itu haha eh elu sombong sangat waktu itu saya pangil males negor lagi sudah
248,lah kamu enak nanti juga selasa ketemu si kiki lah saya libur saja kali ketemu dianya-_-
249,enek saya jijik njs njs njs mitamit
250,cukup sudah saya lalah
251,apan si :p sayang lanjut disms saja ya : ahah tawa tawa :p maf sayang hilaf :p ahaha
252,anu benar a haha tar di bawain orangnya ke rumah kamu deh he joe taslim keren ih :3
253,ya cofe juga hahah ama minum teh hangat aduh hehehehe
254,senin pagi ujan deres demo bm taksi susah macet parah susah
255,cjr at mantap antv \m/
256,malang nasibnya haha liat berita istri potong alat kelamin suami karena cemburu jadi ngilu
257,yang bisa menciptakan cinta adalah kita berdua karena cinta itu kurang dari tiga <3
258,tv biasanya nyala sampai pgi ini ko saya bangun mati ya _
259,wakakak jauh ke tangerang saja sudah sebal macet'y apa lagi ke depok nyasar saya tapi boleh deh nanti kalau ad waktu saya k sana :d
260,hahahaha nanti deh aku pertimbangin tapi jemput kerumah yah^ iya iya aku sabar menanti mu:|
261,bersih rumah sono� ✜� hihi blablablablabla so bored - but nothing to do right now :(�
262,iya benar juga sih dek wkwkw yang penting bisa nonton kak drpada garing _ kecil mana seru dek _ rt
263,des kenapa nga padus saya sudah rapi juga
264,ko engart ko sombong
265,masih dkantor nenk tidak-bawa pralatan selamat sore menjelang malam bikini batem sudah kah kalian mengosok gigi
266,lancipin bibir sibuk ningi'n bdan! reisachacha: saya sibuk! yudh (cont)
267,: hasilnya demi kebaikan bersama sby memutuskan bm naik :( capai dech
268,bagh wong edan hahah serius saya kor ada kperluan apa kamu kerja iya lagi lamaran bah ahaha pagi
269,jijik punya ade cewek pengen saya cekek saja luh rasanya- -
270,hm mungkin otak kanan nya minta perhatian cind hihi ngerti tidak-_ tapi di rumah tidak
271,sederhana saja lebih asik
272,begayan lady gaga pernah bangkrut kali gara-gara kostum
273,iyadeh iya hahart bisa dund;) haha yehaha bisa saja kamu;p jauh dimata dekat dihati kan ka hah
274,ini mendadak jadi males sangat ma lemas hari ini bismilahirahmanirahim #modrop (at stasiun sudimara) —
275,ia kata teman aku juga she enak tapi dya ka sesuai jurusan waktu di smk mas kerja di pertusahan apa
276,kadang-kadang pilihan terbaik adalah menerima semua akan baik-baik saja - rectoverso
277,bahagia ya thanks ya kamis☺
278,iyah hehe :d kaya raisa dong kak;) serba salah (✣� _✣�)
279,saya salah apa sih sama kamu ! :
280,sabar yah
281,widih anak basket parah abis pacers nih tidak-ada bintang tapi bisa nandingin heat �
282,jakarta padat merayap - -
283,adik saya dapat rangking berapa yak mga dapat hasil yang terbaik
284,tidak-mau yang lain ahaha maf ya brother semoga cepat mendapatkan yang lebih baik
285,sudah pulang kale haha sekolah kamu yang benar biar banga orang tue kamu haha iya iya ajadah haha
286,mungkin rangkaian kata kata itu sudah cukup
287,selamat brtambah usia syang semoga selalu dberi nikmat umr kebahagian dunia/akhrt yang pulang penting harus lebih baik dtahun ini amien :
288,tidak-salah pe ava kamu hihihi
289,lagi nonton tv kak :) ya sudah lanjutin saja kak sarapanya biar kenyang ;)
290,selamat pagi holiday im coming
291,yah baru liat di keren tvri nas sudah selesai
292,saman deh yah yang alay siapa wahahalay cunguh sekali cunguh
293,biasa saja ah rasa bakso yunus ini sudah tidak-penasaran lagi hihihi (at mie ayam bakso yunus) [pic] —
294,baik sma orang tapi orang yang dibaikin tidak-ada terimany haduh
295,untuk kamu yang ada dihatiku selamat tidur yah mimpi indah love you ♥: : :
296,yud istirahat ya bawel :)rt ya gp kok bukan salah kamu labil :'(
297,emir benar rt g: mir mir boleh tanya e: iya g: tahu lele tidak-e: ah hah hm enga
298,iya coba deh kamu cek di bawah puser bejendol apa gepeng wkwk tidak-sangka coy wkwk kaya cewek tulen
299,wedeh lengkap sangat yak wkwk get well soon juga beb{}
300,happy birthday jakarta semoga nanti malam menyenangkan dan makin maju saja ya~
301,sudah ketahuan mana yang tulus dan mana yang berkepura an ! ok fine ♥☺
302,kangen sekali sama kaka kece yang ituh :( kapan ketemu lagi ka �: :)
303,tahu tuh fans setia saya dia;) feb fans elu ;) � polbek woy
304,jahaha iyadeh :) senang dongs :p hahah senang yah (>� �<�)rt nurbalwel_mg: hehe begitu dongs \(�▽`
305,lama saja ya jam segini masih di kampus urus tgas yang dadakan hm
306,capai tapi seru ke kotu cari anduk wkwk
307,saya mah kata berudrt salah artinya dilarang boker sembarangan artinya dilarang merokok ya
308,habis makan2 enak kembali kerja ok sip (at [pic] —
309,cinta saja enga setengah setengah ini artikelpun enga setengah setengah mantap ! #muvilaquiz
310,:) makanya jangan suka bilang kamu berubah sejak kenal itu biar pas kamu yang berubah tidak-kaya ngejilat ludah sendiri
311,latihan ampe pagi lagi tidak-ya semangat deh ya orsion \(✒�✒)/ segitiga sosek)
312,bulanya bagus yah
313,yoman kaka kelas saja kalah nyolotnya ama di hahahahaha
314,iya saya tahu selalu saya yang salah kan :'
315,wkwk salah pencet
316,tapi �k� ndak kuat daftar rs jiwa
317,at basket bal court puri indah blok f —
318,at mandiri —
319,pagi pak guru semangat yah insya alah bisa ko amin heh cicing :
320,sudah lama engak makan kerak telur
321,istirahat ya kamu nya yank samasama sayang tengkyu sadnegh nya sayank
322,urusin tuh yang menurut kamu penting sudah tidak-peduli saya
323,thanks bro bro siap grak ! terima kasih captain buat kemenangan malam ini : �
324,pala kamu gendut :ping! apan kamu kangen ya wkwk mpit !
325,dilanda kebosanan akut � (at dsme indonesia) —
326,selamat makan siang (�) (at
327,ini lagi pkl wkwkrt pkl tidak-malesrt bapuk manten atuh pi haha alhamdulilah tapi masih cantik saya kan ;
328,sudah lama ge ngepost tapi tidak-ada inspirasi:-|
329,gadisbasalamah: buat apa buang2 waktu buat dia yang cuek2 saja sama kamu kalau memang dia serius dia bakal usaha mendapatkan kamu
330,iya: ini lagi satu- - kaka ade sama sama kelaparan ya - - ingeagrn: laper~ pradhanawr: kenyang~
331,semangat ah cari uang hahahaha
332,shalat dulu biar di kasih ketenangan hati ini
333,alhamdulilah semoga yang lain cepat sdr alhmdulilah sudah mantan jemat ahmadiyah masuk islam
334,tidak-bisa move on mendengar musik yang kamu suka bisa membuat otak kita tetap aktif dan mengali kenangan-kenangan lama
335,i'm at pesona depok estate (depok west java)
336,di dekat stum kalau tidak-salah
337,tjakep benar ye nilainya wek :p hahaha xd hayo kamu cem wkwkw saya saja ngeri (cont)
338,cukup di hati saja
339,kalau tidak-salah setengah 6an na itu katanya soalnya tidak-pernah naik dari situ saya dari ramayana kalau (cont)
340,lama ya saya - - saya juga saya belum uas ini - -
341,sabar ae sat niat baik tidak-direspon itu rasanya
342,kenapa galau mlm2 lang haha lebih baik di benci sebagai diriku sebenarnya ketimbang jadi munafik disukai orang
343,surprise nanti ya synk� (with at bumi sawangan indah blok b) —
344,test halo sudah lama tidak-on kangen sama hifriends deh:3
345,lagi neduh dengarin lagu ost love rain pas sangat jadi melow hahaha (at halte karet) —
346,setelah hari stuck di kodingan yang itu-itu saja akhirnya lewat juga untung ada koko :) kalau tidak-saya sudah tidur daritadi
347,cepat rawat jalan ya ma amin ya alah swt rs persahabatan rawamangun jakarta timur)
348,biar kebakaran masak air wah anak polos tatar pa haha labil apa tuh kan anak polos tidak
349,kalau saya lagi ada jerawatnya #remajaindonesia kamu sering kurang pede karena hal apa
350,hanya tanggal 1nomer itu lamanya bank mandiri krakatau stel)
351,ohgitu oke tentuin ya pemain inti siapa pemain cadangan siapa
352,selamat malam kota patriot #bekasi #kotabekasi #indonesia ruang osis smp bekasi
353,yampun kurang siap apalagi sih-_- ayo mba isti kita seret dia sekarang!hahaha
354,apan laba jesica abart camilazaki: siapa kamu sobet kenal enak jadi ngimpi mulurt camilazaki:
355,#tenagequestion kota idaman kamu
356,malam selamat malam dan selamat tidur <3!
357,uhuk berawal dari ledek-ledekan berakhir dengan jatuh cinta | #uhuk
358,gratis nih mba karin pulang ! putriwulandari kamis juni bakal ada lomba
359,bodohnya diriku dulu mengejar cinta mu hinga akhirnya terluka
360,biarin ach alay hahahahahahahahahahaha
361,busuk sangat ini :'(
362,pakai o deh pasti cantik :
363,tidak-ah sudah klaman taun -_- lumayan rapih :d nyengirkuda
364,eak masa lalu ya masa lalu jangan sering di bahas yang ada nanti susah move-on
365,i'm maaf :'( tadi ada problem sayang :')
366,#aries: peduli sama orang-orang sekitar seseorang yang pas buat diajak curhat dalam banyak hal terutama soal cinta
367,yang indah indah cepat sangat pergi menyakiti tidak-pergi pergi huekekeke
368,;bnyak ☺� � bilang kalau cemburu itu bukti syang!mnurut � � � � !cmburu itu justru bumerang tuk mbunuh suatu hub ta!
369,depresi kah :d -> mengejar mas mas !
370,hahaha lucu kali cong :p ish patromak itu apa bahasa mana kali d
371,hahaha tahu ya wk haha tahu tuh faras dek aduh apalagi-_- cie paket hemat cie c :
372,biji mledak hahaha janji sama biji kamu tidak-ada bedanya sama2 tidak-jelas :)
373,i give you my best selamat pagi! (at ekonid (the german chambers of industry and comerce) ) —
374,ye sure enga sih haha oh iyeiye map sudah terlanjur tapi memang benar kan
375,selamat pagi! mia edisi rajin (with iqbal at —
376,gatau ah gangerti pusing
377,kalau hari ini tidak-jaga osis juga mungkin saya masih merem asli masih berasa capai sangat ;(
378,macet
379,hm siskayf iya selamat pagi juga haha
380,i'm at pantai indah kapuk (pik) (jakarta utara dki jakarta) w/ others
381,tiba - tiba leher sakit begini ono opo iki
382,pulang kerja makan mie goreng alhamdulilah kenyang ya
383,wkwk ): ava kamu lucu
384,eh ada yang manis tapi kok neng bagaimana kabarnya sudah mulai kuliah kah
385,tambah kece nih mata :d
386,ywd pesan psen mau yang itu tuhrt tenang saja mau yang mana (cont)
387,wkwk pantas bau:p
388,jangan kuatir tuhan takan pernah melalaikan kita
389,ah sial duduk didepan pojok lagi kek gorengan dingin
390,maksudnya jangan tawuran rayakan kelulusan ujian nasional dengan kegiatan yang positif jaga keselamatan dan jangan mengangu
391,hahaha jangkar sudah terangkat kapten! semoga sajalah jalan masih panjang lautan masih lua
