test_ID,tweet,capital_count,exclamation_count,word_count,char_count,word_capital_count
16,jika orang tuamu tau kamu diperlakukan seperti itu oleh pacarmu mungkin mereka tidak akan membiarkan kamu dengan lelaki itu di caci maki di pukul di tendang di tempat umum mending tinggalin aja cowok gt mah,"2 ",0,36,212,0
17,ah kenapa gakmasuknya pas matkul dosen yang tidak bisa diabsenin ginisih t_t yaudahlah lupakan mending tidur ,"0 ",0,15,109,0
18, emotxtawa  tidak biasa naha ka seal deui aya faktor x ya pe    buat liburan panjang om tidak kuat euy si ape,"0 ",0,21,104,0
19,walaupun sepak bola kita tidak pernah akur tapi saya tetap menghargai karya orang bandung  psdfamilykemayoran,"0 ",0,15,109,0
20,yaudah      emotxtawa  iya ka serius     serius tak ape ape ka  emotxtawa   emotxdatar  kamu kenapa nyese,"0 ",0,21,82,0
21,terus gimana cari kerja gimana lama amat dong  emotxdatar ,"0 ",0,9,49,0
22,mereka yang pernah tersenyum pun belum tentu merasakan kebahagian dihatinya mungkin senyum itu hanya menutupi kesepianya ,"0 ",1,17,121,0
23,kalau lagi di glodok tidak jauh sekali semua makanan pasti ada b2 nya,"0 ",0,12,69,0
24,isu kristenisasi itu sama saja dgn isu kebangkitan pki tanpa data  minim fakta dan bilapun ada tak lebih dari pembingkaian di luar konteks  isu yg dibuat untuk membangkitkan hantu demi keuntungan politis dan ekonomis tahyul dan bahlul  ,"8 ",3,43,238,1
25,sulit memang belajar ilmu ikhlas,"0 ",0,5,32,0
26,cakap benar belum juga pada kering cucian sudah hujan saja  ï ½_ï ½ ,"0 ",0,13,68,0
27,selamat ulang tahun  bosque  sepurane telat semoga2 sehat selalu  dilancarkan karir   jodohnya,"4 ",1,17,95,0
28,punya kale emotxdatar  rebek ye yas memang nih suka benar guru2 mengerjakan kita emotxdatar ,"0 ",0,12,74,0
29,semangat pagi â  ,"0 ",0,5,17,0
30,ngapain amat saya nonton kebakaran kamu saja sono kak     sekalikali saja sih borosnya wo,"0 ",0,16,89,0
31,selamat tanggal yang ke bulan super squad doanya yang baik saja lah  emotxsenyum  s9b no asik asik hoy  d,"0 ",0,21,94,0
32,  pak presiden jam segini bapak masih sempat ngetwit sunguh hebat bpak memangnya bpak tidak lelah ya,"0 ",0,16,100,0
33,setelah mengetahui silailah keluarga seokjin gue makin jadi sayangbangetplease bukan krn bokapnya yg ceo ibunya yg ex miskorea tp gue sayang sm seokjin yang bener bener mau berjuang sama bangtan kita tau bangtan dulu susahnya kayak gimana,"0 ",0,42,254,0
34,hidup segan mati tak mau ,"0 ",1,6,25,0
35,pagi pagi sudah liat ka ditl ku pagi k manis  emotxsenyum ,"0 ",0,11,47,0
36,di sat papa mu hidup kamu berikan sebutir kacang pun papa bisa rasakan kalau papa sudah tiada kamu belikan papa rumah mewah pun percuma  emotxsedih ,"0 ",0,26,138,0
37,nih lay kaya a bodoh amat ganti ban saja ampe segala tang lah martil lah mau ngapain coba harus diajarin lagi nih laynya,"0 ",0,24,120,0
38,wa emotxtawa  carin juga donk cari cari loker lagi lah kalau kaya gini caranya  ,"0 ",1,14,73,0
39,dingin,"0 ",0,1,6,0
40,who albert einstein punya kekasih gelap,"0 ",0,6,39,0
41,ini saya santai sekali ya,"0 ",0,5,25,0
42,setengah detik deh biar cepat pakai sekali pret,"0 ",0,8,47,0
43,sama beul  emotxtawa rt sialan lagi banyak kerjan badan malah mogok,"0 ",0,10,62,0
44,kalau kata pengamen kece tadu hidup ini tidak segampang yang kamu bayangin bro kita harus berjuang walaupun buat sesuap nasi saja,"0 ",0,20,129,0
45, emotxdatar  pagi ata calon istrinya bang wowon  emotxsenyum  pagi bolon emotxsenyum  selamat pagi selamat beraktivitas  emotxsenyum ,"0 ",0,19,91,0
46,kamu alay oae mav indrinya lagi tidak on tidak bisa balas mention anda  ndri beli pul,"0 ",1,15,85,0
47,modem jelek sat mod ngoding bagus oke  s,"0 ",0,9,40,0
48,tay giliran sudah bertengkar saja ngebocorin semua kebusukan saya  gamalu ape ngomngin kebusukan tapi muka kamu juga busuk,"0 ",1,19,122,0
49,berita via vallen dapet dm dari pemain sepak bola yang terkesan  menggoda  atau sexual harassment  liat komennya pada bilang lebay dan gak harus di publish karena hal kek gitu  biasa aja  dan parahnya yang nyinyir perempuan juga     miris,"4 ",0,46,238,1
50,buka apantuh  emotxtawa  ewh saya mah alay dari lahir bor gmns donk,"0 ",0,12,60,0
51,benar baru selesai mandi bawanya ngantuk ,"0 ",1,7,41,0
52,hapy birth day semoga menjadi yang trbaik d antara yang terbaik  amin,"0 ",0,13,69,0
53,belum mandi dari pagi niatnya sore ini mau mandi eh gataunya keran mati terus aku kudu piye iki,"0 ",0,18,95,0
54,kaya kenal deh itu quote nya  emotxdatar  oh begitu kehfain buangmuka pergi,"0 ",0,12,66,0
55,aku ini orang yang ga bisa nyindir nyindir bisanya adalah  ngomong langsung tanpa ampun  disertai dg sedikit bumbu kekesalan  dan setelah itu minta maaf dan teuteup  ngoreksi lagi dia hrs kayak gimana,"2 ",0,37,202,0
56,i m at damai indah golf  jakarta utara dki jakarta ,"0 ",0,12,51,0
57,segelas semangat penuh cinta  emotxsenyum ,"0 ",0,6,31,0
58, username   username  alumni praktek dikampus atas ijin siapa  harusnyakan minta ijin dulu krn alumnus memakai fasilitas negara tuk kepentingannya sendiri harus sepengetahuan otoritas kampus,"2 ",0,30,191,0
59,sb yang di monas mah alay2 fanatik sangat sama smash  smp mereka bingung turun lewat mana gara2 di kejar2 terus,"0 ",1,21,111,0
60,kamu juga nes peh jahat kamu jatoin ebel tadi patriciaoct  u pukpuk beya i m so hurt to hear that,"0 ",0,21,97,0
61,mau  selamat pagi  uif masih ada yang mau mendapatkan tiket gratis  uifw2013  emotxkedip ,"0 ",1,17,79,0
62,oh yaudah kirim wa saja sayang video sayang msa video kita     video apa itu video,"0 ",0,17,82,0
63,tapi benar farah  d,"0 ",0,5,19,0
64,kenapa gua cinta banget sama bang wawan sebagai abang gua  ya karna dia salah gaulnya rata   sama kaya gua  emotxsenyum  banyak kesamaan juga  emotxtawa ,"107 ",0,29,136,23
65,tambah kemacetan  pborosan energi apbn  pem dukung mobil murah n hemat energi masuk pasar pada ini ada apa ya,"0 ",2,22,109,0
66,ku inget ayahku yang berpulang hampir 3bulan lalu kalo ada kesempatan sekali lagi rasanya aku gamau ada yg waktu yg kebuang brsama ayah,"2 ",0,25,137,0
67,tergantung makananya juga kali kalau kamu sodorin sampah mana mau saya,"0 ",0,11,70,0
68,selamat ulang tahun  emotxsenyum ,"0 ",0,5,22,0
69,i m at universitas bunda mulia  jakarta utara dki jakarta  w  others,"0 ",0,14,68,0
70,belum lagi d jakarta nis sudah d jogja nih  d oke besok aku k jogja tidak deket juga  emotxtawa  kalau sudah,"0 ",0,21,101,0
71,kalau d tunguin mah lama,"0 ",0,5,24,0
72,setiap kali microsoft luncurkan perangkat lunak yang baru semakin tidak user friendly bandingkan penggunaan office 2013 dengan office 2007,"2 ",0,20,139,0
73,mau tahu lengkap tentang toy story folow  recomended,"0 ",0,9,52,0
74,kesehatan   dibulan ini cukup stabil kondisi badan kamu sering drop kalau kecapean saja sih  emotxsenyum   ramalan,"0 ",0,19,103,0
75,sepi tidak biasa jekardah,"0 ",0,3,25,0
76,uas kelas ya oh ya lupa kirain sudah sibuk cari kampus nan hm boleh tapi bayar ticket  emotxtawa ,"0 ",0,18,92,0
77,aduh seram banget ,"0 ",1,4,18,0
78,ria,"0 ",0,1,3,0
79,anak pintar mah sekolah emgnya lo  emotxejek  masih jaman sekolah apa  emotxejek  kapan saya bisa tidur si sekolah terus  emotxtawa ,"0 ",1,23,107,0
80,selamat tanggal kalian ,"0 ",1,4,23,0
81,i m at vico indonesia wisma mulia building 48th flor  jakarta capital region ,"0 ",0,15,77,0
82,haduh itu bisnya kasihan benar dihujani batu kaya begitu hancur kaca kacanya miris liat kejadian kaya gini,"0 ",0,16,106,0
83,iya smph sakit nya ganahn kamu juga deh saman ka  emotxtangis  jerawat di atas idung tuh,"0 ",0,18,78,0
84,hey dm in no kalian buat komprimasi reunian sd nanti pas puasa,"0 ",0,11,62,0
85,cinta yang sebenarnya     cinta adalah ketika sayyidina rabi ah bin ka ab ditanya oleh rasulullah saw apa keinginanmu  lalu ia pun menjawab   aku hanya minta satu perkara  yakni agar dapat menemanimu di syurga ,"11 ",0,38,212,0
86,alhamdulilah sampai rumah pas sekali sama adzan maghrib selamat berbuka bagi yang puasa  emotxsenyum ,"0 ",0,15,90,0
87,cie andien yang lagi bep marah marah mulu p,"0 ",0,10,43,0
88,bunuh bangke sangat kan main modo kalah lagi bangke memang,"0 ",0,10,58,0
89,makanya w mau ngadu ke ayah biar dibalikin  najis w ludahin paling tar w kasih duit  emotxtawa h dia kan kurang duit mknya nutup w,"0 ",1,25,123,0
90,pas sangat cocok   emotxtawa  besok es tataran pgri kompor ,"0 ",2,11,52,0
91,yoi pelajaran berharga tidak diajarkan tapi dialami  ,"0 ",0,7,53,0
92,dan saya pun makin penasaran dengan lineup  mcountdownina    dan cukup bisa membuat kpopers ina dag dig dug  ,"0 ",0,22,109,0
93,alhamdulillah yaallah  terimakasih kepada kedua orang tua dan keluarga yang slalu mendukung dan slalu suport aku  terimakasih juga kepada  username ,"4 ",0,24,154,0
94,abang supirnya tidak bisa baca kali ya ngeyel sangat jelas2 jembatan serong tarif lama tarif baru keukeh mckmck,"0 ",0,17,111,0
95,pengen sangat dibilang oke siy    eh besok fre tidak temani ke giant yuk,"0 ",0,14,72,0
96,hujanya awet jadi susah kemana mana,"0 ",0,5,35,0
97,selamat pagi dan selamat tangal  emotxtawa   ,"0 ",0,8,38,0
98,chandler joey   phoebe are al leos in real life,"0 ",0,10,47,0
99,berbahagialah ketika bahagiamu diperoleh dengan tidak merusak kebahagian orang lain,"0 ",0,9,83,0
100,nanti pas acara prj kalian perform enga di sana ditungu kabar baiknya emotxsenyum ,"0 ",0,14,71,0
101,ilok sangat dang ï ½ skali2 pasang ava jelek pakai ava yang cakap sedikit saja disirikin n dinyinyirin muluk,"0 ",0,18,108,0
102,tuh ramalan  scorpio asmara  jika sudah punya kekasih maka perlu kesetian dan perasan cinta yang tingi jangan suka bermain api,"0 ",0,22,126,0
103,iya  emotxtawa  hei sampai ketemu diprestasi agung hihi 3,"0 ",0,8,52,0
104,ada sat dimana semua berasa susah untuk dilewati tapi ada juga tiba2 semua terjadi begitu mudah emotxsenyum ,"0 ",0,18,97,0
105,susah nya dapat mentions dari kalian berdua semoga dapat cintanya tidak sesusah ini ya  d,"0 ",0,15,89,0
106,najong saya sudah tidak sombong pou saya sudah level  emotxtawa ,"0 ",0,9,59,0
107, emotxtawa  sok tahu sudah sok tahu kamu pin galau kok dimix emotxdatar ,"0 ",0,11,56,0
108,awas saja kamu lili sebut merknya nanti badut buat saya  emotxtawa rt tianingrum yah cemen ni teteh tidak berani apa perlu w yang sebut ni  d,"0 ",0,25,134,0
109,udah lagi pusing di chat abang gojek  yg mana dah lupa karna dah banyak banget yg jadi driverku terus di chat sama anak seangkatan yg chat nya alay banget  lum bubu si   pengen muntah   ,"4 ",3,43,188,0
110,duh koko hendra sama ahsan keten pake bgt bgt bgt mainnya  gilak china bisa dikalahin bro awal yg bagus,"0 ",1,20,105,0
111,sudah kabur disiram teh biar diam diluar ada kucing ribut berisik  s,"0 ",0,13,68,0
112,huokokokokokokok cukup,"0 ",0,2,22,0
113,tuh kan pantas saja ora iso turu  lah wong sampean cofe al day    cofe al day  i love cofe,"0 ",1,22,90,0
114,ketika beliau menjadi gubernur dki jakarta  kegiatan blusukannya diikuti oleh para wartawan karena pada waktu itu dianggap sebagai sebuah hal yang baru dan unik sehingga kemudian dikenal masyarakat luas  jokowi2periode,"8 ",0,33,219,1
115,tidak sepakat  dan anda  username  sudah menyesatkan orang lain dilarang sholat di dalam bangunan yang didirikan untuk kekafiran  salah satunya gereja  makanya jangan kebanyakan nonton mak lampir aku berlindung kepada allaah swt,"13 ",0,41,232,2
116,suasana sejuk d kota jakarta  jarang2,"1 ",0,8,38,0
117,saya yang merasa saja atau memang benar berubah yasudahlah biarkan ,"0 ",0,10,67,0
118,nah kan kece kalau di jelasin sekali lanfsung ngerti,"0 ",0,9,52,0
119,selamat kawin eh nikah pak doya   at â  ,"0 ",1,12,40,0
120,aku sayang kamu kok kak  emotxkedip  benar tungalku yo mung kamu kak,"0 ",0,13,58,0
121,morning juga mimin yang kece   morningâ  ï ½,"0 ",0,10,44,0
122,nek wani ditowo ojo mung delok gratis koyo e ki jakarta rak panas2 sekali owk tapi kok akeh sing ngeler awak yo,"0 ",0,23,111,0
123, username  whatsapaku kan sudah terang terangan kamu blokir  setelah aku mempergoki kamu secara tidak sengaja bahwasanya kamu kerja di informa ace hardware tp 6 malamnya aku akan sapa kamu  tapi sudah keburu kamu blokir  padahal seminggu sebelumnya ak,"8 ",0,43,254,0
124,nonton romi ganti celana saja kalau nonton bola pusing saja lurt nonton bola ah biar kaya laki,"0 ",0,17,94,0
125,tidak enak sekali kalau badmod tiba tiba,"0 ",0,5,40,0
126,sudah cantik tapi belum di folback sama mandanya emotxsedih  folow my ig terima kasih,"0 ",0,15,75,0
127,bukan cinta biasa afgan apa lagu yang paling enak didengarkan kalau lagi galau  soalmusik,"0 ",0,15,89,0
128, avail  pembalut pantylinerherbal solusi untuk mengatasi nyeri haid   haid tidak lancar beli 5bks fre ongkir,"0 ",0,18,108,0
129,yah dibilang sombong  emotxtawa   emotxdatar ,"0 ",0,5,29,0
130,pacar itu cukup saja setianya yang dibanyakin,"0 ",0,7,45,0
131,  iya sayangku   sayang umi,"0 ",0,6,27,0
132,padang cie duo tigo ampat cie ciye marah  emotxejek  au,"0 ",0,11,46,0
133,tidak mau tidak seru seruan pm dong yuhu ,"0 ",0,6,41,0
134,paling excited kalo ngobrol sama orang kreatif  siap saja kalo bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu   oh iya  kenapa aku baru kepikiran  ,"2 ",0,33,180,0
135,bohong gimana kalau sarahnya saja tahu  emotxtawa  beda lho bohong sama menghindari masalah  emotxsenyum  kalau tidak mau di bohongi jangan jadi masalah novi,"0 ",0,23,141,0
136,gila kacau nih urusan,"0 ",0,4,21,0
137,haelah kesal dongkol sangat saya jadinya ish  â  ï ½â  ï ½  ,"0 ",0,14,60,0
138,bagen sudah ah santai saja ah ,"0 ",1,7,30,0
139,senayan masih macet  emotxtawa   at  pic  â  ,"0 ",0,12,40,0
140,perasan saya tidak tidur slama 24jam ini tapi ngantuknya luar binasa sekali tidur moso cuma 2jam saja  emotxdatar ,"0 ",0,17,105,0
141,lupa pohon rambutan  cners tuips kapan terakhir kamu naik pohon pohon apa  10jutapohon,"0 ",0,15,86,0
142,perasan saya tidak enak dan tidak tenang,"0 ",0,5,40,0
143,kenapa ya sayah engak suka makan sayuran kalau makan suka eneg pengen muntah jadi weh kurus gini  emotxdatar ,"0 ",0,18,100,0
144,enak nya nyruput kopi hitam pas malam malam gini   ,"0 ",0,10,51,0
145, emotxtawa  serius kamu msuk situ jadi saya fix di yadika5    emotxdatar ,"0 ",1,12,57,0
146,ceilah kamu  artinya tidak akan bosan sama kamu emotxkedip  maksudnya apa ini sayang  d muhamadeka_ moal bosan,"0 ",0,19,100,0
147,final exam day analisis kelayakan bisnis   perpajakan  at universitas trilogi  â  ,"0 ",0,16,82,0
148,selamat pagi dan diawali dengan lagu ini â   â   the spirit caries on by dream theater  at komp deplu cipete no 7  â  ,"0 ",0,31,118,0
149,vin di trans7 ada flm bagus tuh yang main kristen stewart  emotxsenyum ,"0 ",0,14,61,0
150,alahamdulilah sbk bisa juga hanya kurang di perlancar saja,"0 ",0,9,58,0
151,kami punya cara kami sendiri untuk berdamai dengan diri kami lewat jalan komedi  kalau ada yang punya cara berbeda  apa berhak membuat kami bungkam  padahal kami tidak mengusik cara yang mereka percayai,"2 ",0,36,203,0
152,setdah itu senam musiknya alay amat  emotxdatar ,"0 ",0,7,39,0
153,waktu pas ultah nya aldi,"0 ",0,5,24,0
154,iya yah  emotxtawa  lucu juga  d,"0 ",0,7,27,0
155,sakit sangat pms â ¹,"0 ",0,6,20,0
156,tidak jelas,"0 ",0,1,11,0
157,helo selamat pagi apakah kalian sudah sarapan,"0 ",0,7,45,0
158,panas sekali bikin kepala saya pusing  emotxsedih ,"0 ",0,8,40,0
159,ngiler  emotxejek  indomie goreng plus buncis  pic  â  ,"0 ",0,13,46,0
160,belum terlihat pak amin siapa calon pemimpin begitu optimis indo  cont ,"0 ",0,13,71,0
161,jangan sok imut kamu nyet,"0 ",0,5,25,0
162,aku tidak diajak main yuk kaka bagus,"0 ",0,6,36,0
163,i m at new lama   lampu led motor  depok ,"0 ",0,12,41,0
164,buset ini path sepi sesepi hatiku wakakakakï ½,"0 ",0,7,46,0
165,bisa jadi bisa jadi   pakai sabun colek tapi males mandi gimana ya  emotxdatar   cukup hati saja yang mandi  emotxtawa ,"0 ",1,21,105,0
166,aya udah rapi belom rambutnya    abis bangun tidur nih cantik ya mantul dah febby nathania elvarette  teman terkebo  url ,"3 ",0,25,121,0
167,ncik gatau ya pik kita sudah d merak jadi begini saya sedang mencari fans yang masih sibuk membicarakan merak bisakah kalian membantu,"0 ",0,22,133,0
168,jadi sudah tahu kan beda  sample recovery dan core recovery semangat pagi ,"0 ",1,14,74,0
169,selamat pagi jumatâ  ,"0 ",0,5,21,0
170,alhamduilah  emotxsenyum  banga sih lulus dengan nilai akhir karena ini murni hasil saya sendiri  emotxsenyum ,"0 ",0,17,88,0
171,i m at graha pesona   ciputat tangerang  ciputat banten ,"0 ",0,12,56,0
172,iya elpan yang gendut semok montok  emotxtawa ,"0 ",0,7,39,0
173,definitely caca  kak ika  auranya udahlah paling pas kualitas aktingnya ga perlu dipertanyakan ditambah gatau caca ini ada apanya  tapi akan gemes aja kalo jadi alex yang galak tapi penyayang tapi cantik tapi sibuk tapi masih sanggup menghadapinya,"9 ",1,43,249,0
174,kamu gampang amat bicara,"0 ",0,4,24,0
175,kan aku cinta kamu   wk oh saya lagi nungu someone emotxtawa w,"0 ",0,11,55,0
176,dari siang nonton film horor sekarang nonton film the ring  emotxtawa  mantap,"0 ",0,12,72,0
177,sok tahu pinteran saya  v  emotxtawa  saya saja sekarang seringnya main mulu v ini saja belum belajar  emotxejek ,"0 ",0,21,99,0
178,happy birthday to us  username  and happy 6th anniv  emotxtawa  bentar lagi kita putus  emotxtangis  aku harus cari pacar baru  3  url ,"2 ",0,26,121,0
179,selamat jumatan imam qu  emotxsenyum ,"0 ",0,6,26,0
180,saya jomblo gimana  vrt tikus 1984 208    kamu imajinatif menyenangkan   murah hati terhadap orang yang kamu cintai,"0 ",0,22,115,0
181,hari ini memang benar benar yeh emotxdatar ,"0 ",0,6,34,0
182,sabar ya da  emotxtawa  cowok memang begitu  emotxejek ,"0 ",0,9,44,0
183,aku tidak apa2 kok khawatir saja,"0 ",0,5,32,0
184,paling cuma dkit yang bkal aku pljrin cuma sepik2an saja  emotxejek  oke paling besok ya kabar2an lagi mager sangat  emotxsedih   emotxtawa  kbarin d,"0 ",0,25,127,0
185,berani tidak kamu â   raise your head   epic by aleso sandro silva   quintino  with edy  â  ,"0 ",0,23,92,0
186,aku sayang kamu sudah itu saja tidak pakai janji janji tidak pakai orang ke 3 dan tidak pakai bohong   emotxsenyum â  ,"0 ",1,20,107,0
187,pft nahantawa itu dulu ngondek ramandha  biar cantik luar biasa eh yakali itu mah el,"0 ",0,16,84,0
188,tungu itu tidak enak  at,"0 ",0,5,24,0
189,jelas kok iphone nya kalau minat kabari yo,"0 ",0,8,42,0
190,muak saya lihat tingkah kamu lama lama   mirip anak anak begitu tingkah kamu   masa kecil suram ya,"0 ",2,17,98,0
191,sembuhkanlah dengan segera orangtuaku ya alah ï ½  at rumah sakit mitra keluarga cikarang  â  ,"0 ",0,18,94,0
192,pantas ditelepon tidak aktip  emotxtawa  ya sudah hokbn saja sudah enak makan ramai ramai,"0 ",0,12,82,0
193, faktanya ketika lagi sekolah bawanya ngantuk pengen tidur tapi pas sudah bel pulang semangat nya luar biasa,"0 ",0,18,108,0
194,tahu aneh dia mah wahyu wiguna dasar masa dia bilang mau tidur  emotxtawa   emotxtawa  yaudah ajak,"0 ",0,16,86,0
195,balik kemana sara oke kamu kabur nanti juga balik lagi,"0 ",0,10,54,0
196,alhamdulilah  suara azan magrib berkumandang alhamdulilah waktunya berbuka lancar puasa hari ini,"0 ",0,12,96,0
197,jangan prcaya perkatan tidak salah tuh hah  emotxejek ,"0 ",0,8,45,0
198,ï ½x_xï ½ ï ½ ï ½x_xï ½ nghabur baik ï ½ fany ni,"0 ",0,8,48,0
199,nanti nabrak tuh ati seakan mataku tertutup kuingin cinta ini dapat kamu sambut emotxkedip ,"0 ",0,15,81,0
200,sudah senin lagi saja ya kok cepat sangat sih  ,"0 ",0,11,47,0
201,jenniku yang sanagat cantik nan menggemaskan seperti bayi aku sayang banget sama kamu ps imutan bayi kita nanti   url ,"1 ",0,24,121,0
202,iye tapi tidak bisa ikut juga saya serius ely d rumah saya ni tapi hari ini pulang sih,"0 ",0,17,86,0
203,prepare kompleks sbs harapan jaya ,"0 ",0,6,34,0
204,late check in sudah kaya jomblo saja dari tadi sendirian  at w  others ,"0 ",0,14,71,0
205,tidak bisa tidur digangu tv sama macan  emotxtawa  ï ½ ï ½ kamar berantakan ï ½  at rom 1a   pic  â  ,"0 ",0,23,96,0
206,aneh lupain saja tante  emotxtawa  sara  saya cuma tanya tidak ngerti maksud kamu  emotxtawa  tante kepo,"0 ",0,16,90,0
207,heam lemot pisan indosat,"1 ",0,4,24,0
208,saya berteman dengan siapa saja tapi saya hanya bersahabat dengan mereka yang layak disebut sahabat  ,"0 ",0,16,101,0
209,m ya udahlah itu mah sudah lama sangat salam kenal ya dek  emotxsenyum  oiya dhiya masih d jogja sekarang kamu kenapa tidak masuk model rabani,"0 ",0,25,131,0
210,cie ka cantik     ,"0 ",0,7,18,0
211,tidak ko tidak apa apa  emotxsenyum   emotxtawa  sip apan dam oke sip â º,"0 ",0,13,55,0
212,adem,"0 ",0,1,4,0
213, username  kalah sudah kalah pamor ya beginilah jadinya  ngomongnya asal njeplak wae  melemahkan seseorang  menciptakan ujaran kebencian  menyebarkan berita hoak dltak pantaslah seorang yang katanya tokoh nasional di negeri ini  bicaranya selalu k,"7 ",0,42,250,1
214,makan ketoprak pedes enak x yacus,"2 ",0,7,40,0
215,soto mie enak juga nih,"0 ",0,5,22,0
216,anjrit kurnia mega keren belanda nga gol2 d,"0 ",0,9,43,0
217, emotxtawa  iya semangats doain juga laporan saya cepat selesai iya ade saya sidang jumat nih semangat juga yang ming,"0 ",0,19,110,0
218,karena cinta pahit berubah menjadi manis karena cinta tembaga berubah menjadi emas karena cinta ampas berubah jd sari murni karena cinta pedih menjadi obat,"2 ",0,26,156,0
219,dia taruh jari telunjuknya di jidatku  mangkanya  beli susu tuh diminum  vitaminnya jangan kelewat  kan ribet kalo mau jalan ke tempat umum tapi kamunya baru jalan 5menit udah kliyengan  aku senyum senyum sayang  emotxtawa u,"4 ",2,39,217,0
220,sakit malarindu  emotxtawa rt saket apa tiwi get welsoon for me  emotxdatar ,"0 ",0,12,62,0
221,tl saya ada yang maho ada yang bertengkar ada yang pacaran duh ramai ye kaya prj,"0 ",0,16,80,0
222,iya za untung tidak kenapa kenapa,"0 ",0,5,33,0
223,desain razer mirip banget mbp malah lbh modern dgn bezel tipis n kemampuan untuk gaming artinya spek lbh baik n desain elegan lama kelamaan hipnotis apple akan pudar contoh nya   username ,"6 ",0,39,193,1
224,si bayu nyanyi manusia bodoh kenapa ingat nya ncek  emotxdatar ,"0 ",0,10,54,0
225,hapy birthday kak panjang umur sehat selalu lancar rezekinya semua baik amin  ,"0 ",0,14,78,0
226,ramai kali,"0 ",0,2,10,0
227,serba salah ini gue emotxdatar  diam ajadeh,"0 ",0,6,34,0
228,ohkeluarga ya sudah sabar ya cantik mantanya abot emotxejek ,"0 ",0,10,51,0
229,sial jadwal sanlat agak kacau gara2 saya   c,"0 ",0,9,44,0
230,gag si biasa ajah  saya mah gag terlalu suka isa raja saya suka nya shena si mewry iri tuh ka a emotxtawa   d,"0 ",1,24,104,0
231,iya  ï ½ ï ½â   ï ½  9 semangat buat dan saya juga â º,"0 ",0,19,54,0
232,the greatest showman ini film musikal 60  isi filmnya nyanyi2 dan karena gw pribadi suka bgt genre kek ini  jadi 2 jam nnton tuh ga kerasa sama sekali rasanya pengen ikutan nyanyi2 sambil nari2,"3 ",0,40,197,0
233, godmorning  at damai indah golf   country club bsd city  â  ,"0 ",0,16,61,0
234,memang kamu sayang sama mamah kamu saja ngelawan terus sama mamah kan ada aku  cont ,"0 ",0,17,84,0
235,sudah nonton cinta brontosaurus,"0 ",0,4,31,0
236,saya sibuk nih sekarang lagi mingu uas   ujian blok cuma isi form tidak sampai menit guys  emotxsenyum   oprec,"0 ",0,20,99,0
237,nah kan sepik bodoh kan ini anak,"0 ",0,7,32,0
238,kesal kesal  emotxsedih ,"0 ",0,4,14,0
239,liat twet sebelumnya dia mau nipu lagi wka serius yang ini aseriusloeh mama aku lulusâ  ,"0 ",0,17,88,0
240,ah omdo nendi mah     ya sudah lebih baik jalan sama nendy sudah cancel ma klrga demi dia dia y ngeselin bikin tidak m,"0 ",0,24,118,0
241,awas kamu bohong,"0 ",0,3,16,0
242,oke testy nu ava with,"0 ",0,5,21,0
243,sayang kok sayang   dia dulu hanya lagi kegoda am sih pho sesat   ,"0 ",0,18,66,0
