id,sentimen,tweet,capital_count,exclamation_count,word_count,char_count,word_capital_count
17,1,"jadi orang tua itu begitu iya mau anaknya seperti apa keadaannya tetap sayang banget berjuang mati-matian demi anak walopun capek pulang kerja masi saja pulangnya nanyain perkembangan anaknya ",3,0,32,187,0
18,1,"romantis itu manis lebih manis lagi kalau dilakuin orang tg kita sayang semua bakal terasa seneng dan berbunga bunga emotxtawa seperti ada ribuan kupu kupu terbang yang ada diperut kalau lagi ada yang ngeromantisin begitu ",14,0,39,213,2
19,0,"hari ini aku lelah ",0,0,4,18,0
20,0,"toh iya saya jelasin ke kalian kalau saya sayang dia karena dia sahabat saya kamu tidak pada percaya juga kan kamu pada ngira kalau saya tu cinta sama dia hei plis di highlight kalau sayang tu tidak melulu soal cinta cintaan ",4,0,45,217,0
21,1,"mama takut putri manisnya jatuh lalu terluka tapi sadarkah kamu bahwa papa dengan yakin akan membiarkanmu menatapmu dan menjagamu mengayuh sepeda dengan seksama karena dia tahu putri kecilnya pasti bisa ",12,0,34,205,2
22,1,"oalah pantas iyanih adik kan lagi promosi sambil olahraga main skiping kak kok bisa murah ",0,0,15,88,0
23,0,"kalau tidak terpaksa juga tidak bakal saya naik busway gembel bleketek eek ini ",2,2,16,77,0
24,0,"sekelas emerson masih begitu kelakuannya apa lagi kalau bukan kerna kebencianya sehingga lupa kalau yang diketawain ternyata junjungannya son son gagal maning ",1,0,25,157,0
25,0,"sudah ah jangan sedih katanya strong sel adit ",0,0,8,46,0
26,1,"cowok ganteng adalah yang pergi solat jum at selamat solat jum at my someone di ",0,0,13,78,0
27,0,"lumayan loh ini cuci sendirian ",0,0,5,31,0
28,1,"dari semua pakaian yang ada di pasar bayangkara pasar senggol aku memilih 1 pakaian saja jika di beri 2 akan saya gunakan jika di beri 3 tetap saya gunakan jika di beri 4 saya bersyukur untuk di gunakan ",5,0,45,209,0
29,1,"gara gara kapan hari ngopi terus dengarkan lagu lagu jaman dulu jaman sd kaya tangga ello andien audy terus sekarang bikin playlist lagu lagi yang seangkatan 2004 2005 ",4,0,31,158,1
30,1,"katherine sofia setelah benar ngrasa capek banget sma kerjaan minimal seminggu sekali harus banget ngasi reward ke diri sendiri semacam me time dengan memanjakan diri ",1,0,28,160,0
31,1,"waktu itu awal kelas 11 cuma karena duduk sebangku saya bisa langsung deg degan dan jatuh hati selama iomenit sama orang yang dulunya guakira freaky habis ",0,0,31,157,0
32,1,"amin mokasih iya enak emotxsenyum selamat ulang tahun da ade sukses selalu di ",0,0,15,67,0
33,1,"lebih asik kalau membicarakan keberhasilan pemerataan pembangunan pencapaian ekonomi dibandingkan membicarakan keburukan calon sebelah ataupun keburukan si gubernur a atau b ",3,0,23,168,1
34,0," username username banyak yang tolol di didik untuk jadi kacung mengerti ibadah puasa tapi takut lapar cara rakyat memiliki dan menikmati tanahnya hanya lewat liang lahatnya ",3,5,37,189,0
35,0,"saya paling tidak suka dengan orang sombong saya saja yang tanahnya 7 hektar aset berlimpah saldo di rekening 1-1 digit itupun baru satu rekening dan punya banyak investasi di dubai diam diam saja ",160,0,39,202,29
36,1,"pemimpin sejati rt anesasembiring love you jokowi ",3,1,12,55,1
37,0," username tolong dijelaskan maksud dari hal ini dibuktikan dengan penggunaan resi pada transaksi anda yang telah digunakan pada transaksi lain transaksi anda dengan supplier anda saya rasa tidak mungkin ada double resi ",4,0,40,229,0
38,1,"apa kabar sehat emotxsenyum ",0,0,6,17,0
39,0,"lama sekali njir ",0,0,4,19,0
40,1,"tetap disini jangan biarkan aku sepi sendiri izinkan aku selalu bersamamu dalam ikatan yang direstui semesta aku sayang kamu separuh hatiku ",5,0,21,145,0
41,0," username username mustinya di biarin saja itu bom pas kamu tidur lagi rapat saja meledaknya jadi kan tidak kerasa iya saudara laki-laki tau-tau sudah di alam laen amp ",1,0,35,146,0
42,1,"masuk dibulan pertama mensive saya sama dia tetap masih baik-baik saja tidak ada uang masalah sedikit pun selain baik ramah perhatian dia juga orang yang pengertian bat tidak banyak nuntut ini itu ke saya itu yang bikin saya sayang bat sama dia ",2,0,46,223,0
43,0,"aduh mentang-mentang cantik jadi kamu bisa nilai kekurangan orang senaknya begitu iya jangan sombong mbak cantikmu itu milik tuhan ",0,0,19,122,0
44,1,"semoga dengan tayangnya film 2-2menit ini menjadi perantara untuk selalu menebarkan benih benih cinta yang akan menumbuhkan persaudaraan diantara umat manusia ansormajusatubarisan url ",5,0,28,188,0
45,1,"with the girlfriend maaf bang dipinjem dulu si eneng i need my long overdue dose of lexynes dinnerdate ",6,0,23,110,2
46,0,"ada sangat sakit mata bacanya apa ada yang salah dih cont ",0,0,13,59,0
47,0,"padahal yang lain senyum ramah lohsama fansnya cuma kamu sendiri yang agak angkuh rodo ngadoh piengono nek tak rasakne sumpah wagu mas polahmu ",2,2,28,149,0
48,0,"punya teman yang egois dan penghianat itu rasanya x ",0,0,11,53,0
49,1,"god morning sayang have a nice day iya emotxsenyum ",0,0,11,42,0
50,1,"sayang aku sudah gede banget sih kamugak berasa iya perasaan baru kemarin lahir sekarang sudah gede saja bawel banget lagi ",1,0,23,123,0
51,1,"teman sma w ini berhubung dia lagi tidak punya pacar baru 2 hari mkanya gangguin orang barangkali ada yang mau knalan dia bilang kemren kalau dia mau cari pasangan yang bisa ngeetiin tugasnya emotxtawa w url ",6,0,38,188,1
52,1,"yaudahlah yang penting indah bahagia ",0,0,8,40,0
53,1,"pastinya qarin emotxsenyum e emotxtawa nah bismilah emotxsenyum iyah rin à ï ½â ï ½ à optimis okeuke di di ",0,0,25,90,0
54,0,"itu tersesat banget yang seharusnya kamu belajar berbagai macam teori tentang sosial di sini kamu dikasih berbagai macam angka dan rumus yang bikin tidak nyaman dan jatuhnya bahkan jadi orang paling tertinggal di kelas ",2,0,38,214,0
55,1,"tiada henti rnya q mengucap syukut alhmdllh sekarang aku bisa uang jadi panitia kemarin alhmdllh trmkah kamu bri brlmpah mski tak sbrpa inysllh lma-lma mmbukit amn url ",4,0,35,168,0
56,1,"bersenang senang lah sepuas nya selagi masih muda ",0,0,7,50,0
57,0,"kalah saing juga sama ibuk ini balas smsnya lama banget ï ½ ï ½ ï ½ ",0,0,16,66,0
58,0,"hp apan sih memang ai emotxtawa hpe lama itu v cie emotxtawa semoga ketularan hp baru chandra_lan tidak ini mah hpe ",0,0,21,107,0
59,0,"saya hidup dizaman presiden hebat yaitu suharto beliau buat aman dan tenang untuk masyarakat tetapi tidak tenang untuk kaum pki kaum rampok kaum bandit kaum yang ingin jadi pejabat negara tapi otaknya kosong hanya kaum itulah yang tidak suka bapak suharto url ",68,0,48,268,8
60,1,"mau gudeg mbarek bu hj amad foto dari google sengaja biar teman teman juga membayangkannya berbagi itu indah ",5,0,22,116,0
61,0," username akhirnya malu kan bila dipermalukan etika itu penting dalam berbagai aspek kehidupan rakyat semua tahu setelah ada sanggahan dan petunjuk yang terlontar jangan merasa bersih jika tidak bersih ",4,0,35,202,0
62,1,"finya fly overnya keren habis at flyover summarecon bekasi pic â http t co lcrnrorshg ",4,0,18,90,0
63,1," congratulations mengucapkan selamat untuk ibu dini mildawati yang meraih new silver leader semoga semakin lancar sukses bersama paytren ",22,0,21,141,1
64,1," ulfahmatswal google play lumayan bagus kok ",0,0,7,43,0
65,1,"w emotxtawa iya man iya hapy birthday iya ibu pimpinan gbynand atbfy emotxsenyum emotxsenyum emotxsenyum bercanda saja man ",0,0,23,89,0
66,0,"sedih kenapa lagi si lnjut boleh ko ke rom diam ah jangan bercanda saya lagi sedih emotxsedih ",0,0,18,85,0
67,1,"alhamdulillah listrik nyala kembali saya warga sedang takziah di kediaman almarhum warga yang wafat terima kasih username username username c username username url ",5,0,38,178,0
68,0,"sudah dua tahun dia jadi spv jadi sudah biasa w tidur sendiri dia pulang subuh paginya w kerja dia tidur w paling dia sudah brgkt padahal serumah kdg 3 hari baru ketemu begitu kok iya ada yang ngatain w posesif tidak bisa ditinggal pgn w makan jadi lauk samyang ",3,0,52,238,0
69,0,"tapi tentunya secara ini bekasi ada hal hal yang sayangnya tidak terelakkan 1 bekasi itu panas banget 2 bekasi kalau weekend sore malam itu macet banget tapi hal tersebut bisa diatasin sih kalau panas iya pakai ac ngindarin macet dengan rencanakan jadwal keluar rumah ",11,0,52,264,1
70,1,"avatar kamu lucu emotxtawa ",0,0,4,18,0
71,0,"et jorok banget si bos ",0,0,7,23,0
72,0,"sakit yang paling menyiksa itu rindu sakit yang paling ngebatin itu nungu dan sakit yang paling sakit itu mencintai kamu ",0,0,23,126,0
73,0," username heaku kemarin melihat hoak tetang pohon plastik pertama kali dari akun anda ygdisebarkan lewat facebook ini bukan saja nol besar tapi skaligus nonjok muka junjungan sdr terima kasih ",1,0,35,194,0
74,0,"kdrt ï ½ jangan kasar yang banting saja kalau prlu emotxtawa emotxtawa tabok saja yang damnichan wahai ",0,0,17,93,0
75,1," username username alhamdulillah saya coba dengan password yang daftar seminggu lalu sudah bisa dan tanggal 16 dapat antriannya terimakasih ",2,0,24,138,0
76,0,"baru kali ini pemakaian fasilitas laboratorium dikampus sendiri bayar kalau begitu uang yang dibayarkan tiap semster apa tidak termasuk di doain yang buruk apa yang baik ini ",2,0,30,175,0
77,1,"bulan depan baru kita kesini ramai sob tenang emotxsenyum ",0,0,10,48,0
78,0," username replyigbb im not robot fight for my way its okay thats cinta goblin itu yang inget kayaknya saya suka mewek terutama drama yang ditinggal meninggal begitu memang cengeng ",0,0,39,181,0
79,0,"kenapa sinyal disini jelek sekali ",0,1,6,35,0
80,0,"ah nanti kamu dusta lagi kaya waktu itu ",0,0,8,39,0
81,1,"asal kamu tahu saja orang kurus kecil itu sebenarnya makannya banyak tapi g gede begitu lho dan sebaliknya orang gendut mkn dikit tapi gendut jangan minder jadi orang kurus gemuk bersyukur saja sm allah ",5,2,49,196,1
82,0,"map iya ik putry khilaf sombong wa emotxtawa bau ik kaya kamu tae ",0,0,12,58,0
83,1,"kurnia mega bintang timnas ini emotxjempol http t co drfyijeswg ",10,0,12,67,0
84,1,"cinta memberikan alasan untuk tersenyum dan memberikan waktu yang indah untuk tertawa tapi terkadang cinta juga memberikan kenangan yang tak akan pernah dilupakan ",2,0,24,163,0
85,1,"selamat pagi selamat beraktifitas iya ",0,0,7,39,0
86,0,"saat sakit gigi dan sakit hati datang berbarengan rasanya kayak mau bilang terima kasih loh tuhan aku dikasih kesempatan langka begini ",3,0,25,141,0
87,0,"saya kaya anak kostan tidak punya uang selalu kelaparan emotxsedih iya tuhan ",0,0,12,67,0
88,1,"hepibesdey mbaak cantek username panjang umur sehat selalu serta mulia dan jadi pribadi yang jauh lebih baik tetep mentel yetapi jangan jadi simpenan orang ",1,0,28,164,0
89,0,"maunya di fasilitasin tapi kerja hasilnya belum jelas emotxsenyum omonganya itu iya kosong at motormobile ofice â ",0,0,20,107,0
90,1,"gilegue lihat cover jack the giant slayer saja ut gemes banget nicho gayanya keren habis makin naksir emotxcinta ",5,0,22,104,0
91,1," username tidak acuh tapi diem-diem perhatian banget sama anak nya galak tapi cengeng disiplin banget humoris juga ramah jago masak pinter ngaji rajin banget sholat orang nya kuat emotxtawa h sayang banget sama mama ",2,0,46,214,0
92,1,"yah namanya juga cinta ada waktu cinta banget cinta saja lumayan cinta agak cinta tapi tidak mau pisah yah namanya juga cinta siapa yang bisa ngeplanning besok mau memberikan cinta berapa persen ke dia ",3,0,40,202,0
93,0,"jangan diam lawan juga mereka yang memparalat hukum dengan tujuan kekuasaan jangan diam lawan juga mereka front linernya komunis berkedok pancasila emotxsenyum url ",2,1,27,153,0
94,0,"sometimes flashback is hurts egy jahat sangat ï ½ ï ½ ",0,0,9,53,0
95,0,"saya adalah cewek yang galak sama sesama cewek yang goblik pakai feeling tidak pakai otak egois baper berlebihan semena-semena tidak punya empati manja tidak pernah mau salah tidak responsible bahkan lempar tanggung jawab wait sama cowo yang begitu juga sih berarti saya memang dasarnya galak saja wq ",4,0,59,277,0
96,1,"hai nanti kita cantik 3 waiting juni â º ",0,0,8,44,0
97,1," username username alhamdulillah tidak pernah merasa inferior islam agama paling sempurna umatnya saja yang inferior merasa islam sama dengan agama lain islam di liberal kan ",2,0,31,177,0
98,1,"sama sama sayang ",0,0,4,18,0
99,1," username username ini price list yang ada dari facebook nya mereka web nya di url semoga membantu emotxsenyum anyway ini myday yang biasanya sering karaoke disana username emotxsenyum url ",3,0,44,182,0
100,0,"sebuah misteri kenapa kalau ada perempuan korban pelecehan seksual yang speak up yang paling ganas jari mulutnya justru banyak perempuan juga ",1,0,23,144,0
101,1,"happy birthday sender wish you althe best semoga ditahun ini kamu dikasih kesehatan selalu sukses dan orang makin sayang sama kamu once again happy birthday ",2,3,35,164,0
102,0," username username tidak perlu mnta maap juga kalik beda perspektif mah wajar yang berlebihan mah ngapus twit neg bukan bela simic juga tapi slama vgk lapor pulisi bhwa dia ut jadi korban pelecehan mah itu masih tetep urusan private mreka bdua di dm bagaimana awa ",2,0,50,249,1
103,1," emotxtawa co saya masih terbahak bahak pas pel pkn itutuh sd cilampang tertawa ",0,0,13,76,0
104,0,"tidak bisa tidak perlu kamu saya an kebiasan lama di kalau jawa jawa saja lihat twitmu kemero emotxdatar ",0,0,16,93,0
105,1," habis buka facebook thinking sebanyak itu iya teman teman yang saya kenal mulai dari teman sd sampai pas jaman kuliah dengan segala kesibukan mereka sekarang seneng saja lihatnya feeling very grateful have a live in this life alhamdulillah ",8,0,48,249,1
106,0,"wakwkw maaf yud sudah salah ngotot huh ",0,0,7,38,0
107,0," username jangankan tgb jika harus atau sby bahkan pmarahanarab sekalipun kalau merapat ke username tidak akan saya dengar seruannya indonesia butuh pemimpin kredibel dan jokowi tak kredibel akugppkok ",17,0,42,211,3
108,0,"koneksi axis parah banget di mari ___ at dan hotel http t co uwoatijxqs ",9,0,18,81,1
109,1,"jangan pernah menyerah ku kan selalu di sini untuk bersamamu sayang melawan dunia jangan pernah merendah kamu tak pernah sendiri kita bersamamu sayang berdarah bersama url ",0,0,28,172,0
110,0,"orang egois yang harus dimusnahkn duduk di kakak tidak mau mindahin brgnya yang ditaro disblh padahal ada orang berdiri emotxtawa kamu pkr ini kereta punya mbahmu ",0,1,27,157,0
111,1,"namanya juga perasaan tidak bisa dibohongin karena biasanya yang bikin jatuh cinta dan yang bikin nyaman itu orangnya beda cewek sama cowo misalnya emotxsenyum selamat sore jangan lupa minum emotxsenyum minum yakult tiap hari url ",3,0,42,212,0
112,0,"twt tolong coba tatar mereka biar tahu sopan santun jangan sombong kurang ajar begitu ",0,0,15,79,0
113,1," username esbuah srb bolak balik gojek rorb beli 4 es buah rorb jadi aorb worth it lah asli daripada dikota yang jual ceban 1 saja sudah jarang parah emotxtawa ",1,0,34,156,0
114,1,"kalau lagi sayang iya sayang sangat kalau lagi manja iya manja sangat kalau lagi aleman iya aleman sangat kalau lagi marah iya marah sangat kalau lagi koplak iya jangan ditanyaya gaes dia koplak melebihi aku ",5,0,36,199,0
115,0,"karena kalimat masasih uang yang kemarin dksh gacukup boros bangetsih masa uangnya tinggal segini lantas si pengatur keuanganpun ingin murka rasanya ",1,0,30,154,0
116,0,"hoh bar sakit rasanya emotxtangis ",0,0,7,25,0
117,0,"stlah upah di traktir kamu neng kaleum bray ini msi jauh dari tanggal ",0,0,13,67,0
118,0,"mereka sangat kuatir dengan dukungan penuh nu kepada presiden username makanya yang mereka coba utak atik dan delegitimasi adalah istilah islam nusantara yang diperkenalkan dan dikembangkan nu sejak muktamar 2015 jadi persoalannya bukan agama tapi politik ",10,0,39,259,2
119,0,"niruin sistem sekolah lain tidak kreatif amat jadi sekolah terlalu norak sih iya apa-apa selalu pakai ungulan baru melihat ungulan iya emotxtawa ",0,0,21,136,0
120,1,"saya jatuh cinta pada ryan gosling sejak di the notebook mungkin itu kenapa saya tidak pernah bosan nonton ulang lah lah land sampai sekarang sudah lebih dari 10 kali nonton lah lah land mata sayu senyum lembut gosling banget url ",14,0,49,235,0
121,1,"amin terima kasih deh di selamat ulangtahun cinta sukses dunia akhirat iya di ",0,0,15,76,0
122,1," username dia ini manusia yang tibatiba nyita perhatian gara-gara kukira dia orangnya kalem ternyata allahu bobrok banget tapi tambah bobrok tambah cinta emotxtangis bucin banget sori emotxsenyum url ",0,0,35,180,0
123,0,"yang salah siapa masa yang ngalah harus saya ",0,1,9,46,0
124,1,"kalungnya hayom bagus juga itu ",1,0,5,30,0
125,1,"aku hanyalah ciptaan tuhan bukan superhero apalagi malaikat aku hanya bisa melakukan apa yang aku lakukan adik itulah aku anak nomor tiga yang murah hati dan aku mohon semoga kamu cepat tahu adik menjauhdarijanji ",3,0,41,217,0
126,1,"kamu tahu aku sayang sama kamu dan rasa sayang aku ke kamu makin besar mungkin rasa sayang yang besar itu nantinya akan menyakiti satu sama lain tapi untuk saat ini aku benar benar sayang sama kamu sungguh username emotxtawa ",3,0,45,227,0
127,0,"supir bak hilunya tolol jalanan lebar bisabisanya ngelindes kaki w sudah begitu pas kaki saya kelindes bahkan bukannya mundur maju cepat cepat kok bahkan hah hoh hah hoh sakit tot bodoh dipelihara kucing itu dipelihara ",1,0,38,213,0
128,1,"cie selamat tanggal iya fatrin longlast and kep romantic iya seyamet tanggal iya bebeb di emotxtawa ",0,0,17,95,0
129,0,"jangan kebanyakan nonton makanya mau bangkit dari kasur lemas sekali emotxdatar ",0,0,11,72,0
130,1,"muda-mudahan puasa kali ini membawa perubahan bagi kita semua jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi jatengsaruratkorupsi ",31,0,29,277,0
131,0,"pusing î â ï ½ â ï ½ â ",0,0,8,30,0
132,1,"pengennya menangis tapi tidak bisa ngeluarin air mata entah dari pagi pengennya senyum jadi sampai kebawa ke hati siang siang di gituin tetep rasanya enteng ",6,0,25,151,0
133,0," username tolong mengerti modal saya tidak sebanyak itu a emotxtawa terus terpikirkan kata kak zha saving buat encore di korea aku galaot_t ",8,0,29,140,0
134,1,"selamat malam cantik kok belum ada blsan dari siang tadi ",0,0,10,56,0
135,1,"style kuliah doyoung seperti begini simple tidak banyak gaya tapi itu yang bikin jatuh cinta pokoknya doyoung cocok dengan gaya apa saja anak ekonomi yang tiap hari datang ke prody sastra inggris cuma untuk ngejemput saya selesai kuliah url ",9,0,47,238,0
136,0,"suka tidak habis pikir sm orang yang ngatain musibah ketika menimpa orang lain dianggap azab tapi ktk menimpa golongannya disebut cobaan ingin ku misuh matane ",8,2,29,156,1
137,1,"kalian kdg ktemu orang di socmed yang trnyata temennya si ini begitu tidak si eh trnyata si ini mantannya si itu atau wah trnyata si ini yang bikin konten yutub ini why why the world is so smol ",2,3,44,186,0
138,0,"gaya kamu banci sok pejabat meting segala cuih a emotxtawa meting tidak beres-beres z ",0,1,14,77,0
139,0,"belajar agama yang tuntas jadi nga ngarang dalam hidup isa saja disebut-disebut dialquran terus kamu mau jelek-jelekin isa bisa baca alquran tidak url ",3,0,29,134,0
140,0,"apakah mereka tidak pernah belajar akan dampak negatif omongan besar dan kata-kata kasar dulu pernah ada politisi menyebut jokowi sinting karena mengemukakan gagasan hari santri ucapan bodoh ini ternyata menyumbang besar bagi kemenangan presiden username dalam pilpres 2014 ",8,0,44,275,0
141,0,"biarin saja noldy orangnya juga sudah tua kasihan bahkan lihat orang tidak ada kerjan begitu h ",0,0,15,92,0
142,1,"iya allah tugasku telah selesai dengan baik putri kecilku yang lucu dan kucintai telah menjadi wanita cantik bahagiakanlah ia bersama suaminya ",1,0,23,147,0
143,0,"turut sepenanggungan atas meninggalnya dari ramona sari sejawat aktivis dan salah satu pejuang paling tangguh dari username untuk hak kesehatan seksual reproduksi perempuan indonesia semoga yang maha berkenan memeluk pulang tuhan yang memberi tuhan pula yang mengambil ",9,0,47,279,0
144,0,"masa supir taxi nya mengeluh macet sekali ini kalau tidak mau macet jadi supir pesawat saja edisi abu yang ",0,1,19,105,0
145,0,"terus tolong dong hargai privasi kalaupun saya jelasin semuanya ke kalian kalian tu tidak akan mengerti juga kalian berpikiran dari sudut pandang kalian sendiri bukan dari sudut pandang saya ataupun si x sahabat saya jadi udahlah ",4,0,43,229,0
146,1,"apa persamaan antara tidak punya pacar dan puasa iya benar sama sama sabar menahan diri dan menunggu kenikmatan yang hakiki percaya bahwa kebahagiaan itu akan tiba pada waktunya semangat menunggu berbuka semangatpuasa ",7,0,35,214,0
147,1,"okelah ada kemajuan hayom ",1,0,4,25,0
148,1,"ketika sentuhan pertama langsung berbuah jadi gol kurang beruntung apa coba sudah sejajar lah iya sama andy cole shearer berbatov username ",4,0,27,143,0
149,1,"alhamdulillah selesai membaca buku ini semoga ilmu yang diperoleh berkah dan bermanfaat aamiin ayomembaca satuharisatubab jakarta url ",4,0,25,142,0
150,0,"kamu ingin nonton film dibioskop tapi tidak punya tiket terus kamu boleh begitu ikut nonton iya begitu lah kalau paku payung dikasih nyawa sudah tidak ada tiket tapi tetep maksa tolol sih ",7,0,36,175,1
151,1,"sukadeh sama teman yang ngetweet konten-konten yang berwawasan apalagi di dunia nyata bisa share ilmu jadi nyinyiran kritikan bisa lebih bermanfaat apalagi kalau nyambung ngomongnya tidak cm bahas lamtur lipen saja ",0,0,39,217,0
152,0,"semoga roboh dan menimpa mereka baru kemudian akan ada himbauan keras untuk tidak naik naik sembarangan ke atas situs sejarah sadis terpaksa pekok berjamaah garansi seumur hidup url ",6,0,35,189,0
153,0,"dear username username saya kirim dokumen penting dari jakarta sby makanya saya pakai yes kirim senin ajuni seharusnya sampai selasa sjuni skr sudah hari rabu kenapa belum sampe-sampe juga kan bikin esmosi saya sudah bayar lbh pakai yes kenapa tidak nyampe sehari nomor resi saya 011060039617518 ",6,4,60,283,2
154,1," oldmoneygakngerasain main kocok sabun ambil gelas plastik masukkan air and sabun colek terus dikocok-dikocok pakai sikat gigi kalau mau halus pakai sabun mandi kocok terus sampai busanya banyak tapi tidak mengerti fungsinya apa emotxtawa l ",8,0,40,218,0
155,0,"indosat ngehe ",1,3,5,16,0
156,0,"miris menciptakan karya dengan susah payah yang menguras pikiran tenaga waktu dan materi kalah oleh oknum yang menjiplak dan atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi bagaimana menurut username ",8,0,44,242,1
157,1,"cinta itu sederhana aku dan kamu dan tidak ada yang lain aku untukmu dan kamu untukku yang lain cuma nonton ",4,0,26,113,0
158,1,"halo sebagai sahabat dahsyat mesti tahu dong kalau ini artis yang bakal boming ",0,0,13,78,0
159,1,"percaya saja kalau tuhan punya rencana baik toh setiap orang pernah berbuat kesalahan yang penting bagaimana cara agar tidak mengulang hal tersebut ",22,0,22,144,0
160,1,"go seung jae sama song hyeri kapan jadiannya ini saya nungguin mau tahu urusan orang juga sama ending hubungan mereka emotxtangis padahal seung jae munculnya cuma bentaran saja tapi berhasil merebut atensiku dari mas choi myeong ho yang ganteng ",0,0,36,218,0
161,1,"kamu yang akan ku ceritakan kelak anak anak kita bertanya cinta itu apa inspirasi sehabis meeting tibatibacinta tibatibakangensuami tibatiba cerita orangyangkucintai jakarta url ",3,0,33,189,0
162,0,"ter bodoh memang ada yang 540 kenapa download yang 7-70 sihabis kan igb padahal buat download about time eps 06 sama mishammburabi eps 06 juga ",3,0,28,145,0
163,1,"iya ampun bling cantik luar biasa emotxtawa â ï ½ ï ½ ï ½ ï ½â ",0,0,11,59,0
164,0,"kacamata kapan jadinya sih emotxdatar mata sudah susah buat lihat jelas ini emotxtangis ",0,0,15,71,0
165,0,"si aib anak mana jangan buka aib mar _ biasanya juga begitu ah april lagi on ",0,0,16,76,0
166,0," username helloowpak username asian games tinggal hitungan minggu dan jakarta masih belum kelar berbenah apakah anda tidak malu palembang 95 pengerjaan hampir kelar dan anda pak anies urusin trotoar pun belum selesai-selesai anda itu gubernur ",9,0,45,243,0
167,0,"mardani username mingkem tidak bisa jawab makanya masyarakat cerdas janganpilihpartaioposan menyesatkan ",41,6,21,116,5
168,1,"pulang ngantor sebelum waktunya itu asyik loh emotxsenyum tidak macet emotxtawa ",0,0,11,67,0
169,1,"dare completed indah banget hari ini huuh emotxsenyum lumayan makanannya enak tadi hah emotxtawa ",0,0,15,76,0
170,0,"anjing batu fucker kamu fckng bodoh banci halah saya sumpahin kamu nikah sama buselo ",0,1,15,84,0
171,0,"bicara sama orang ini tidak asik sekali pahit â º ",0,0,8,49,0
172,1,"buset indosat baik banget sudah cuma nge berentiin pakai bukanan saja dapat id indosat super wifi ",2,0,17,92,0
173,0,"astaghfirullah baru jam 10 saya sudah istighfar saja mau marah marahin orang please refer to my last e mail alias bitch i just said so why are you asking again ",37,0,29,156,10
174,0,"ini kenapa pingang saya sakit tbtb emotxdatar ",0,0,7,38,0
175,1,"semangat hari ini yeah am ready to work at pt iahgames indonesia â ",0,0,15,70,0
176,0," username username setuju bang yang beginian bikin hidupnya tidak tenang saja iya tidak mikirin yang lain seperti bagaimana mencari orderan ingin enak sendiri saja jadinya saya saja gedeg benar yang bikin opik begituan ",1,0,39,189,0
177,1,"bagus juga hasil fotonya mama with and karamina at quickly pic â ",0,0,16,70,0
