id,tweet,sentimen,pos_words,neg_words
6062,sombong dm aku gadibales:(,0,,
6063,senin kamis kali min -_- kasihan besok yang puasa senin jumat wkwk besok kenyang :d,0,,
6064,coy coy show imah seru nih x_x hahahaha xd,1,,
6065,iya dong semangat buat toefl ya abis toefl siangnya karokean harus! haha,1,,
6066,tidak-kuat diam lamalama,0,,Diam:2
6067,lebih baik hidup diasingkan dari pada hidup penuh dengan kemunafikan,0,,"Asing:4, munafik:5"
6068,jenuh lelah bosan rasanya pengen di akhiri semua ini,0,,"Jenuh:5, bosan:5, lelah:5"
6069,(�✣�)�`) (�ﻬ�) iya sabar sabar ya nanti juga berhenti yakali ujan tidak,1,,
6070,siapa tahu mau dengar suara jelek saya nyanyi nih -> ficering ceritanya sih comate,0,,
6071,ramai gila (at tanah abang) —,0,,Ramai:3
6072,memang mungkin saya diciptain tidak-lucu kali ya (✣� _✣�) yaudalah saya syukurin saja,0,"Aamiin:5, amin:5","Yaudahlah:5, yaudah:5, yasudah:5, saja:4, aja:4"
6073,tapi aku tidak-tahu soalnya ka dew :( kita kerjain saja wi ms ani baik kok aku tidak-tahu yunho,0,,
6074,acik kita jadi trio jmblo sekarang pesan aku jan ada kesedihan lagi iah,0,,
6075,sok sekali pengusaha baru tar ge tidak-saya bantu cari costumer lagi marah mangkanya jangan ngabisin uang orangtua terus,0,,"Marah:5, sok:5"
6076,rumah sudah kaya gudang setelah saya balik,0,,Gudang:2
6077,maaf ya libur hari mingu kapan sih saya pulang kerja tidak-macet (✣� _✣�),0,,"Sih:5, macet:4"
6078,loh kenapa tidak-harusnya hari ini jam ini lagi sibuk ngisi jawaban tes tertulis di semarang :( dilewatkan begitu saja : �,0,,
6079,yakin nih tanggal lomba bareng smp di ah! semoga ketemu dia pokegagakhitam,0,,
6080,huah dasar lau eh cewek lau g marah bukan ap dia g punya twtr,0,,
6081,lelah amat dian mungkin lelah hah (✣� _✣�),0,,Lelah:4
6082,selamat pagi teman-teman khejucrabs selamat berkatifitas kembali jangan lupa sarapan n terus semangat,1,,
6083,lima puluh rebuan rt murah pokoknya saya sampai beli baju ahahahaha kampret nih memang diskonya berap,1,"Diskon:3, murah:5",
6084,harus bisa they :d kalau tidak-kuat lambaikan tangan saja ke arah camera kalau ada cameranya :d :p,0,,
6085,yang kuat ya at (y),1,,
6086,tidak-bandel lah kan disana sholat thu,1,,
6087,ahaha keren kan :d,1,,
6088,saya tidak-ngerti saya bingung saya serba salah,0,,
6089,jiah dingin butuh yang anget!,0,,Jiah:5
6090,alhamdulilah orang remove ana di facebook ana sendiri bingung salah apa kalau merasa tergangu dengan status ana buat apa bersosmed,1,,
6091,waw aku akan ngertin kamu terus walaupun aku sakit :'),0,,
6092,hei kalian wanita cantik di invite erisa weding,1,,
6093,tidak-pakai lama,1,,
6094,baong racun lain ih dititah ge baong ah sok nu beda naon sarua atuhla lain atuh ih,0,,Racun:5
6095,cantik kak{},1,,
6096,bagus kenapa bagusrt oke danangwahyu10: siprt iya nang danangwahyu10: iya pi rt,1,"ok, oke",
6097,makasih ya kalian perhatian sangat sma aku aku tidak-mau kehilangan kalian deh :,1,"perhatian, makasih",
6098,cepat sekali sudah pagi saja #morning ◦-(�0`)-◦,1,,
6099,di twiter rakyat boleh menertawakan presidenya memaki2 pejabat coba presiden mana berani menertawakan rakyatnya di dunia maya :-),0,,"memaki, maki, "
6100,kucing sialan - -,0,,sialan
6101,angkat telepon saya penting,0,,
6102,ah meler baik ini hidung - -,0,,meler
6103,({}) s� � ( ) s� � sayang : iya bebey makasih ya :,1,,
6104,tidak-ngaruh adenya minum vit c ka biar mangat tidak-semangat untuk koding,0,,
6105,ahaha ketahuandeh itu yang bukan hub kami awet eon u u jh_juliejiantie ea ea ea gombal jelek hahahaha,0,,gombal. Jelek
6106,kamu fikir enak pulang malam terus! saya bukan robot!,0,,"pikir, fikir"
6107,tidak-boleh begitu na pacar kamu lagi tidur cantik kali wkwkwk,1,,
6108,kangen rumah sudah rapi belum ya,1,,
6109,(�▽`�♡�) ahaha iya bagus mau menghalalkan yang selama ini haram ahahaha sudah ngebet,1,,
6110,pilihan mana saja nih selamat pagi :) bismilah,1,"bismilah, bismillah",
6111,sejaj kapan ini ada hari kblkn-_- kan sekarang hari kebalikan wkwkwk jahat kamu orang seriusan,0,,
6112,udahlah saya kaya lagi bicara ama bolot kalau gini caranya -,0,,bolot
6113,marah tidak-mau difoto ini bukan acara motret ini acara menemani anaknya main kata dara iya deh [pic] —,0,,
6114,mention mention dong yang baik :(,0,,
6115,juni ada malam muda mudi aka jakarta night festival anak sepeda pada serbu tidak-nih kasi liat saja ke penduduk jakarta kalau kita eksis,0,,
6116,yap terbongkar semua tidak-bisa bohong lagi dan akhirnya merasa terpojokan :'),0,,"terbongkar, bongkar, bohong"
6117,vidi #whosingthis cinta yang hilang cinta yang kembali ketuk pintu hati yang sepi kan ku buka sepenuh hati,0,,
6118,hadeuh banyak nyamuk sudah kaya di kebon saja nih,0,,"hadeuh, haduh"
6119,: kamu kenapa deh sakit,0,,
6120,loh kok cepat begitu sudah pulang iya kamu tidak-bilang sih cpcpcpxp,0,,
6121,jangan bilang sakit ,0,,
6122,au ah mod berantakan sekali :( line pada balas kek,0,,
6123,setujuh sekeren-kerenya rebut pacar orang lebih keren mencari kebahagian dari pacar sendiri tanpa merebut punya orang lain,1,,
6124,berpikir pstv saja jangan berpikiran negativ tidak-baik lho! buang tuh pikiran yang negativ - negativ malah nanti jadi masalah yang semakin rumit:),0,,
6125,eh kok setan teriak setan ( ) o o,0,,setan
6126,ke bali sudah kaya pesantren & rock n rol hahahahah,0,,
6127,hadoh apasih - b indo tidak-ngerti saya si ibu indikator ngejelasin nya tidak-jelas,0,,
6128,untung sudah punya lagu yang bad girl ♥☺ lagu asik,1,,
6129,ah githa main maka nya kesini;'d mau gowes sudah lama tidak-gowes bareng :'),1,,
6130,hari terakhir welcome in my new life,1,,
6131,eh jangan peran saya kaga bagus lek coba ceritain endingnya boy hahaha saya ikutlah,1,,
6132,“sibuk cari rupiah dek sibuk apa kak�,0,,
6133,tidak-jadi ke untung jawa dan siap-siap susi (susah sinyal) lipokarawaci),0,,susah
6134,aduh mati listrik euy kostan gelap,,,
6135,biarin apa ta hahaha bocah jorok (‾▿‾)-�•rt mandi dolo ah sudah siang sekali masalahnya;) ting,,,
6136,sahabat itu dia yang jail sekali bukan untuk menyakiti tapi untuk membuat kita tertawa bersama :),,,
6137,rasa kantuk mengalahkan rasa penasaran mau liat si pak tarno uji nyali hahaha,,,
6138,nomor keberuntungan orang januari :,,,
6139,saya penasaran nih si wina bilang apa ke #17 -_-,,,
6140,semangkok bubur teh manis hangat kue pukis alhamdulilah :-),,,
6141,mau mati apapun caranya�,,,
6142,selamat pagi! selamat 21tahun nisa{},,,
6143,suporter bulutangkis paling semangat ya cuma di indonesia,,,
6144,wah keren ahahaha soda api :p huahaha kalau mantan tiba2 datang kerumah kakak kasih minum apa kak,,,
6145,tk pan min maaf saya tidak-tahu sudah ada yang berhasil instal aplikasi kita yang kedua di tanyalkitab tk belum tk buka,,,
6146,nanti kalau kelas1 dikampung pasti saya cewek paling bodoh disana mereka kan kutu buku aku kan kutu doi: ( ( ) wkwk,,,
6147,mungkin dia kecewa,,,
6148,sayang bagi pin nya,,,
6149,morning babas♥ morning pwt semangat terus ya semoga kita bisa ketemu lagi #cjrgeneration2013,,,
6150,songong luh item! wina jenong dan tembem tapi aku tetap sayang ko sama dia :p {},,,
6151,kece sekali kak ryan di,,,
6152,sakit hati kali eh aku yang sakit sekarang :(,,,
6153,☑rt kalau dua-duanya sama-sama cinta pasti dua-duanya juga akan saling memperjuangkan hubungan tersebut,,,
6154,menuju tes terakhir tes pemahaman alkitab fiuh apa nanti yang keluar -_-,,,
6155,baik juga :) lanjut kuliah mana nih baik haha kamu gimana terima kasih :) apa kabar nih,,,
6156,cewek kalau lagi dapat memang benar yah hawanya ksel ingin marah2 mulu-_-,,,
6157,dibilang aneh mah sudah biasa apalagi kalau mama yang bilang (�✣�),,,
6158,wanjir game legendaris ini ngeri bro juli ini ada yang baru di game civilization v: brave new world gajah mada of indonesia,,,
6159,terutama aku :3 hari ini cewek akun cantik cantik cowoknya pun kece kece mirip eksmud :3,,,
6160,untung saya raisa jadi selo kibasrambut,,,
6161,dingin sekali :-(,,,
6162,seorang muslim dituntut melaksanakan kewajiban besar fundamen islam yang sangat penting yaitu,,,
6163,orang pintr tidak-cocok tom nimrung disini salah almt kamu ha,,,
6164,care semuanya serba tulus #tomorowadminrafting apa syarat tuk bisa jadi pacarmu,,,
6165,huaw tankyu ka :| iya sama2 lega cerita ke kamu terima kasih kamu �,,,
6166,ye ketek alay wkwk,,,
6167,menikmati suasana malam sebelum besok surya terbit kembali (at panarub laboratory) [pic] —,,,
6168,ah mau! sayang disuruh diet sama kampleng haha ngambing melampiaskan ke-keki-an saya akan segala hal kambing tiga saudara,,,
6169,iya sih wkwkwk saya juga males oke deh memang kamis boleh meg,,,
6170,janji ko gabakal kaya dulu lagi :'),,,
6171,masih kesal saya sama ayah saya tidak-habis pikir deh!-_-,,,
6172,semangat buat duta im3 jgj !,,,
6173,palingan ngaret „​(�^� ) yoman abis shalat langsung caw yawn wkwk bagus abis magh,,,
6174,dulu ada saja yang ngaku2 kertas binder nya asli asli palsu sama saja belinya di abang ager oia kertas file nyebutnya :),,,
6175,abisnya pamer pamer -_- jahat sekali -_- selengkatkakifahrul,,,
6176,hahanjir ngakak!rt saya berharap fatin yang menang suaranya keren waktu dia nyanyi sunlight mama lemon sunlight mama lemon,,,
6177,ilmuwan ungkap fakta pengunan senjata kimia oleh rezim asad dan kejam,,,
6178,jadi tidak-maco be tidak-akh tapo jahat! -_- kok kamu jadi feminim sih akh tidak-seru !,,,
6179,makan siang cantik (with michael and joshua at ipeke komachi) —,,,
6180,sok bijak lu! kamfret deh �(�0�)�,,,
6181,njir nih bapak merokok samping saya - kan asep rokok kamu bau,,,
6182,perawatan itu harus lengkap dari ujung kaki ampe ujung rambut sampai ke dada pun kudunya dirawat juga,,,
6183,teman curhat paling enak yang nyokap abis dia saja yang tidak-cepu -unknown,,,
6184,apa tuh kalau soal beginian w belum pernah beruntung tapi tidak-ada salahnya di coba,,,
6185,� � � � � � � � � semoga dya cepat sembuh metz pagi al,,,
6186,kalau mau curhat jan disini lah coy tidak-enak masih jaman minta polbek sekarang tuh waktunya minta kepastian rt,,,
6187,hidup bahagia bukan karena uang dan jabatan tapi hidup bahagia karena kedamaian dan di hargai orang,,,
6188,� �a�a�a � iya semoga amnesia benar ya duh enak ya punya kakak tenar  begitu iri deh :( ya,,,
6189,nonton ftvfilm bad marsha god minah bikin geregetan^ ka ackting keren sangat sudah berhasil membuat penonton terbawa suasana> <,,,
6190,wara fitnah saja ni koko sipit gara2 si yeh cargeran b pakai rusak � �,,,
6191,dasar cowok modus cowok gila cowok sinting cowok stres cowok tidak-ngotak memang dasar kamu gila !,,,
6192,kamu akan melakukan apa saja demi melindungi orang yang kamu sayang - jhon carter,,,
6193,hidup penuh pilihan pastikan hati nurani dan pikiran sejalan dengan niat dan bakatmu agar pilihanmu sesuai dengan harapanmu :-),,,
6194,ya tidak-item2 amat sin busi vespa mah hitam areng oh wkwk hah putih kamu salah liat kali saya hitam haha biar,,,
6195,adik saya rata2 tidak-masuk jakarta keras,,,
6196,mungkin ku bajingan tapi bukan penjahat kelamin yang selalu menikam tanpa belas kasihan don't go any where tonight bro we want pas,,,
6197,oalah oke oke thanks ya,,,
6198,iya ujian tapi selesai ujian tidak-ad libur :( wets iya dong bro kamu mh lagi ujian ye enak benar orang ini,,,
6199,kurang pagi jam,,,
6200,iya deh iya kebetulan banyak barang dari mantan yang masih utuh dan mungkin cocok buat kamu,,,
6201,love u cinta,,,
6202,yeay~ cuti! padahal masih lama (at draftfcb) —,,,
6203,sakit yang perhatin cuma : ),,,
6204,pada susah dihubungin ty katanye abis uk mau sumpahya benci sangat gue~,,,
6205,kacau -,,,
6206,yah iyaya -_- iya kamu juga mana depan kamu jendela gede saya tidak-ada jendela cuma kecil,,,
6207,ih kaka alay ! (n),,,
6208,kalau saya begitu enga semua cowok kaya begitu u u cowok tidak-akan tahan melihat cewek yang,,,
6209,sudah ayan jomblo lagi lengkap,,,
6210,ya alah berikan mamiku kesehatan dan umur panjang yang berkah amin �,,,
6211,fuk apan kamu peh-_- gosip melert -> kamu itu mirip dendeng gurih gurih legit gimana begitu,,,
6212,tidak-saya mau jadi orang pelit belajar sana nanti saya tingal liat :p,,,
6213,kamu duluan tahu yang mulai hikshoks status kamu apan lagi tom yang alay wkwkwk,,,
6214,hp ngeselin keadan juga ngeselin lengkap,,,
6215,lebay lurt adel cantik bangetsi:'(,,,
6216,dih ririn fitnahnya bikin tambah saja saya sama heru parah,,,
6217,y x saja lia lagi baik hati mau traktir lgian bagi yan aneh aneh saja haha wkwkwkw iye juga si tidak-mngkin juga lia traktir,,,
6218,ka cantik hapybirthday wish u al the best longlife cantik imut cempreng unyu yah hihi ♥ sukses ka {} alahblesyou:-,,,
6219,haha iya ren ajakin dong segera cepat darla orang yang dipoto mau ngajakin alan2 tuh eymn,,,
6220,kalian balikan ya memang ya kalau cinta tidak-akan lari kemana kalau sudah jodoh � � � � � � �,,,
6221,hai orang-orang yang beriman jagalah dirimu dan keluargamu dari siksa api neraka,,,
6222,pakai saya dari tadi nengok2 ke belakang mau negor elu tapi takut salah orang huft tidak-jadi ketemu cewek cuco deh,,,
6223,bikin instagram kaya gimana sudah,,,
6224,selamat makan / & d' cost cinere) [pic]:,,,
6225,di bilang lucu kalau pakai kerudung aha :d,,,
6226,tapi lumayan jauh nek bah sma di jakarta padahal iya nek b,,,
6227,kalau on minta pin ya hehe alhamdulilah bagus deh :) hehe hehe enga ko oalah kirain,,,
6228,bisa kok hm iya g kece abis haha,,,
6229,keren nih out now! nike air pegasus '92 'usa' -,,,
6230,sedih sangat sudah jauh2 datengin grgr idam baru ingat kalau selasa ternyata… (at ninotchka cofe parlour & diner) —,,,
6231,wakakakakak masih kenyang saya,,,
6232,tidak-da yang saya suka - - pekerjan cocok orang desember: penyiar radio penulis pengacara dokter polisi artis pilot,,,
6233,jakbar mana mal puri cengkareng wkwk tidak-level saya saya mau ngegahol di cafe kemang sayang :),,,
6234,ye harus dongseh :-) terus saya harus senang begitu iwh!,,,
6235,kenapa kamu sok imut bet wkwk : ) zakiyong: dvd-ing chika,,,
6236,tao nih badanya demam makaseh ea ira♥:- sakit apa :o uh iya calon bu guru ♥,,,
6237,sodorin air cuci muka :p mari kita tegakan nilai2 kebaikan keadilan dan kebenaran disetiap,,,
6238,dua jam yang melelahkan -_-,,,
6239,benar sekali nah sama enak benar gag huahaha (cont),,,
6240,tawa kamu yona wakwaka rt! rempong ye sma sudah link php disuruh pakai baju adat pula lailahailaulah,,,
6241,ontheway church w/ sayang ♥,,,
6242,iqbal behel nya kece deh ;) jam buat say halo,,,
6243,nanti blay w masih sibuk :p,,,
6244,terserah marah atau memang terserah tidak-peduli :,,,
6245,jadi ingin aku dek -_- heheh enak ka seru kan barang ama ank2 skelas,,,
6246,cepat sini online lagi wkwkwk > <,,,
6247,sabar fhy:) merasa tidak-dihargain sekali saya jadi cowok !,,,
6248,alhamdulilah baby nat sudah di aqiqah cepat besar yah sayang hug,,,
6249,tidak-kece tidak-ada guweh ! :| �,,,
6250,nih orang lama amat kaya orang penting saja lau,,,
6251,apa yang akunya iri sama kamu:) iri sangat sama ka yanti: ),,,
6252,kenyang makan gorengan banyak,,,
6253,nungu orang ini lama bangets datang nanti teraktir mie ayam yes,,,
6254,lelah abis beresihin kamar ibu {}♥,,,
6255,selamat ulang tahun kartu perdana saya yang ke 6thn :) jangan lupa traktiran ya ;),,,
6256,boyo lah silau~ saya bantuin tapi dari jauh yah haha,,,
6257,ikut besok jadwalny nyetor uang ke bank n k salon dulu � lma tidak-maskeran rambut biar lebih sehat n wangi rambutny ​,,,
6258,neida sekarang sombong nih huhuhu :( morning to kaka {} morning adik kecekuh :,,,
6259,memang sulit tapi pasti kok,,,
6260,wkwk semangat yaw{},,,
6261,terima kasih oke sayang belajar yang rajin ya q kan selalu mendoakan mu sampun yang ini lagi belajar dong,,,
6262,kode cal:'( curhat lagi kalau jombs sih seneng:') nanti juga senang lagi haha benar,,,
6263,wkwk penuh dengan wildan dan lidya,,,
6264,hehehe nt next time lagi chy tmni amin doakn chy lancar penelitian a,,,
6265,sudah sholat keren :d,,,
6266,orang yang kamu rendahkan dengan ucapan murahan perek dan sampah bisa saja lebih punya harga diri daripada kamu dwitasari~,,,
6267,sbgt pengantar dulu sayang skripsi saja pakai kata pengantar setelah aku fikir2 smlem mama kamu ngelamar aku,,,
6268,semuanya harus di nilai dari sisi positif maka semua akan baik baik saja #sekian,,,
6269,kalau kecepetan ya lamain saja yakin taun hahaha thun tuch cepat sangat sebentar lagi sudah selesai saja kuliah saya,,,
6270,i'm ful argh kenyang bego;'9,,,
6271,semangat untuk hari ini:d chers,,,
6272,nendang saja mah kuat,,,
6273,ini bukan akting yank bapak serius slangkangan bapak gatal hari nga ganti bhahahahaha,,,
6274,bakso malang #mandirikarnaval,,,
6275,tenang bro nt nanti juga ditanya,,,
6276,terang terus | terus terang,,,
6277,tkp! kalau mau info jadwal dari artis favorit kamu bisa loh langsung submit request di :d,,,
6278,avanya cantik test ava,,,
6279,egila mudah rambut yang gampang kusut menandakan hdp yang kurang teratur mudah sedih nmn biasanya pribadi yang ceria dan tanguh,,,
6280,kata-katanya kode sangat sih dek jadi sayang deh: rizka mah tidak-jahat ka ama orang yang baik ama rizka,,,
6281,ruang sidang kaya pasar begitu yah,,,
6282,sabar bro calon orang sukses begitu paket habis pulsa habis uang pun habis,,,
6283,enak lah bisa bicara wkwkw tiap hari latihan pelepasan -_-' bosan,,,
6284,wisuda nanti tidak-usah kasih apa2 deh:/ kalau surat waktu september kemarin sudah kasih kalau suratnya didia ilang juga tidak-apa-apa yang penting,,,
6285,gratis kan,,,
6286,lama amat neng-_-rt iya nanti jam8 ya,,,
6287,malam ini makan mie aceh t4 kita biasa nongkrong dulu habis pulang dari lab #masih jelas bayangmu disini teman,,,
6288,kena tanah merah ya jeblok semuanya! kaya abis bertengkar bukan abis nonton konser :d�,,,
6289,hasil akhir kali menang kali kalah kali seri masukin gol kemasukan gol point #gmu,,,
6290,haha lag itu sudah kaya orang modar saja tidur cuk mati mah tidak-bangun -_- ya ok #arstronot tidur tah mati saya kstu lah sekarang,,,
6291,baik kamis ajeh kamis saja bagaimana apa � � mau duluan,,,
6292,tama nih b saya mati soal ny,,,
6293,maunya masuk :p hahaha memang besok caca tidak-masuk supeng haha konyol ih:p,,,
6294,aldi cie~;d cinta itu cinta itu apa �,,,
6295,kenapa ha lagi twet kamu awam kaya begitu cu apa coba astaga ha,,,
6296,pengen liat omi juga alamat tidak-bisa ke sc nich padahal pengen nonton omi juga malam ini omi sepertinya seru sekali,,,
6297,dih kata siapa � � gp sih seperti elu tidak-labil saja :p rizcasr: tadu eyut sekarang uyut ini yang benar mana tidak-konsisten deh - -,,,
6298,mana madrid tim yang selalu dibangain sok sih loh ngeremehin lawan ! makan tuh 2-1 di kandang haha tanpa gelar mampus! haha,,,
6299,biasa ah dek besok ke ta ya sama ji kan enak sangat ya,,,
6300,jangan letih mencintaiku jangan lelah menyayangiku hinga bumi tak bermentari ♬,,,
6301,tidak-apa-apa kepo cukup seneng:d,,,
6302,kalau berangkat ke kampus jangan lupa mukanya di bawa biar sampai kampus tidak-sibuk cari cari muka sama dosen ahaha,,,
6303,idiot jir! nadyakarina heh kamari curhat pan jeung aing ceunah mau urus di rumah saja jadi saya pulang kerja dia sudah masak,,,
6304,waktu yang dibutuhkan untuk seorang pria jatuh cinta pada pandangan pertama adalah detik,,,
6305,wkwk:d memang ku tidak-skolh nyeh org:phaha khildakn: garau fit saya sudah telat jadi malas skolah:d fitri_ratna_: anak kelas bany,,,
6306,oke audi iza jadi tidak-enak audi tapi yang penting iza bakal usahakan kok,,,
6307,terus masalah ih macem macem -_- lebih jelek dari papan mas ya ciyan jauh dari papan,,,
6308,adik gu tu mank konyol lks dkerjain org! dapat apa kamu dek dari siapa ya yang lks penjas yang sudah disi semua,,,
6309,biskuit enak & selalu bikin hapy hanya yuk folow ada kamera slr & galtab loh! cek favnya #biskuitkokola,,,
6310,lesu,,,
6311,if i lose myself di remix jadi aneh deh -,,,
6312,z haha cnd kaka : :') ya intinya jomblo! wkwk :p jomblo terhormat ~,,,
6313,salah kali saya ya tahu ah,,,
6314,pintar sekali dipakai doi minjemnya sam saya -_-,,,
6315,ogah ah! kesal yang ini wajib di :) #redpasion #1stfcbfigathnas,,,
6316,sudah fix nih di unindra bismilah saja deh semoga ini pilihan yang terbaik :),,,
6317,bohong _ duh ileh galau iya dong :prt masa ;-p biasa saja wle :p,,,
6318,gp sih mau tahu nich kepo belalgebran: memang kenapa ka tangal besok selamat tangal pas hari jumat loh,,,
6319,lucu kamu,,,
6320,parah ye,,,
6321,kata terakhir oktober: sabar mudah dipercaya mencintai keamanan pencemburu rakus,,,
6322,lagunya susah tidak-tahu deh,,,
6323,asli ! pengen liburan ☹,,,
6324,aufa mah kecil wah ami bilangin aufa kamu ka haha tertawa jahat ini aufa sekali ibar,,,
6325,: yauda diemin saja ndah sudah kita tidak-usah gangu hubungan orang :) biarin dia senang sama kehidupanya sendiri haha,,,
6326,sembuh dg☹kalo saya kurus kan jadi tidak-asik;'(;d,,,
6327,wkwkwk mau yang ganas apa sebentar haha yoman aniayaya bibir saya pakai bibir kamu hahwhahwaha,,,
